usec,rovCtdDtg,rovCtdDtgFlag,vehicle,depth,depthFlag,temper,temperFlag,salin,salinFlag,oxyg,oxygFlag,light,lightFlag,sound,soundFlag,sigmatheta,sigmathetaFlag,lat,latFlag,lon,lonFlag
1194458835,11/07/2007 18:07:15,2,vnta,2.78,2,15.299,2,33.132,2,4.24,2,85.25,2,1505.48,2,24.4679,2,36.745953,2,-122.051688,2
1194458850,11/07/2007 18:07:30,2,vnta,3.47,2,15.3,2,33.133,2,4.45,2,85.28,2,1505.496,2,24.4685,2,36.745953,2,-122.051688,2
1194458865,11/07/2007 18:07:45,2,vnta,8.64,2,15.298,2,33.134,2,4.58,2,85.44,2,1505.577,2,24.4698,2,36.745953,2,-122.051688,2
1194458880,11/07/2007 18:08:00,2,vnta,15.29,2,15.295,2,33.134,2,4.04,2,85.65,0,1505.679,2,24.4707,2,36.745953,2,-122.051688,2
1194458895,11/07/2007 18:08:15,2,vnta,21.84,2,15.003,2,33.155,2,4.17,2,86.21,2,1504.888,2,24.5507,2,36.745953,2,-122.051688,2
1194458910,11/07/2007 18:08:30,2,vnta,28.19,2,14.233,2,33.209,2,4.2,2,86.8,2,1502.587,2,24.7563,2,36.745953,2,-122.051688,2
1194458925,11/07/2007 18:08:45,2,vnta,34.15,2,13.906,2,33.233,2,3.8,2,87.24,2,1501.651,2,24.8429,2,36.745953,2,-122.051688,2
1194458940,11/07/2007 18:09:00,2,vnta,40.3,2,13.672,2,33.241,2,4.42,0,87.35,2,1500.996,2,24.8973,2,36.72931586,2,-122.11420686,2
1194458955,11/07/2007 18:09:15,2,vnta,46.65,2,13.514,2,33.248,2,4.21,0,87.63,2,1500.59,2,24.935,2,36.710302,2,-122.185657,2
1194458970,11/07/2007 18:09:30,2,vnta,52.8,2,13.107,2,33.253,2,3.9,2,87.87,2,1499.348,2,25.0206,2,36.71036173,2,-122.185622,2
1194458985,11/07/2007 18:09:45,2,vnta,58.86,2,12.94,2,33.271,2,4.1,2,88.08,2,1498.912,2,25.0677,2,36.7104464,2,-122.18554226,2
1194459000,11/07/2007 18:10:00,2,vnta,65.01,2,12.46,2,33.275,2,4.07,2,88.15,2,1497.403,2,25.1643,2,36.71041266,2,-122.1854734,2
1194459015,11/07/2007 18:10:15,2,vnta,70.97,2,12.111,2,33.389,2,3.6,2,88.33,2,1496.449,2,25.3194,2,36.71043307,2,-122.18542842,2
1194459030,11/07/2007 18:10:30,2,vnta,76.82,2,11.697,2,33.432,2,3.63,2,88.59,0,1495.176,2,25.4303,2,36.71047433,2,-122.18535713,2
1194459045,11/07/2007 18:10:45,2,vnta,82.77,2,11.075,2,33.347,2,3.73,2,88.71,2,1493.007,2,25.4773,2,36.7104812,2,-122.18530493,2
1194459060,11/07/2007 18:11:00,2,vnta,88.93,2,10.614,2,33.439,2,3.87,0,88.85,2,1491.593,2,25.6303,2,36.71045853,2,-122.18524133,2
1194459075,11/07/2007 18:11:15,2,vnta,95.28,2,10.403,2,33.464,2,3.61,2,88.95,2,1490.977,2,25.6865,2,36.710542,2,-122.185247,2
1194459090,11/07/2007 18:11:30,2,vnta,101.53,2,10.188,2,33.486,2,3.16,2,89.05,2,1490.338,2,25.7405,2,36.71056726,2,-122.1852258,2
1194459105,11/07/2007 18:11:45,2,vnta,107.68,2,10.03,2,33.539,2,3.12,2,89.07,2,1489.937,2,25.8086,2,36.71057753,2,-122.18522946,2
1194459120,11/07/2007 18:12:00,2,vnta,113.63,2,9.856,2,33.57,2,3.28,2,89.13,2,1489.446,2,25.8621,2,36.71061892,2,-122.18516807,2
1194459135,11/07/2007 18:12:15,2,vnta,119.58,2,9.585,2,33.62,2,3.02,2,89.18,2,1488.622,2,25.946,2,36.7106132,2,-122.1851298,2
1194459150,11/07/2007 18:12:30,2,vnta,125.74,2,9.401,2,33.66,2,2.76,2,89.19,2,1488.101,2,26.0073,2,36.7106986,2,-122.1851138,2
1194459165,11/07/2007 18:12:45,2,vnta,131.99,2,9.221,2,33.685,2,2.79,2,89.21,2,1487.576,2,26.0559,2,36.710715,2,-122.185117,2
1194459180,11/07/2007 18:13:00,2,vnta,138.24,2,9.092,2,33.708,2,3.15,2,89.24,2,1487.233,2,26.0946,2,36.71066833,2,-122.18506033,2
1194459195,11/07/2007 18:13:15,2,vnta,144.68,2,9.002,2,33.724,2,2.9,2,89.27,2,1487.028,2,26.1215,2,36.71065833,2,-122.18502733,2
1194459210,11/07/2007 18:13:30,2,vnta,150.83,2,8.826,2,33.79,2,2.75,2,89.25,2,1486.559,2,26.2009,2,36.71068007,2,-122.18504814,2
1194459225,11/07/2007 18:13:45,2,vnta,156.88,2,8.767,2,33.819,2,2.63,2,89.27,2,1486.476,2,26.2329,2,36.71072,2,-122.1850724,2
1194459240,11/07/2007 18:14:00,2,vnta,163.23,2,8.758,2,33.864,2,2.51,2,89.34,2,1486.604,2,26.2696,2,36.71079753,2,-122.18498086,2
1194459255,11/07/2007 18:14:15,2,vnta,169.48,2,8.775,2,33.92,2,2.77,2,89.37,2,1486.839,2,26.311,2,36.71081266,2,-122.18497186,2
1194459270,11/07/2007 18:14:30,2,vnta,175.73,2,8.776,2,33.934,2,2.5,2,89.38,2,1486.964,2,26.3219,2,36.7108614,2,-122.18499466,2
