rovCtdDtg,vehicle,depth,temper,salin,oxyg,lat,lon
2003-07-19 14:07:00,tibr,9.93,11.966,33.354,6.47,36.227016,-123.777934
2003-07-19 14:07:30,tibr,10.72,11.965,33.351,6.51,36.227016,-123.777934
2003-07-19 14:08:00,tibr,13.4,11.96,33.353,6.56,36.227016,-123.777934
2003-07-19 14:08:30,tibr,16.18,11.711,33.375,6.1,36.227016,-123.777934
2003-07-19 14:09:00,tibr,18.17,11.438,33.401,5.48,36.60277114,-122.37457114
2003-07-19 14:09:30,tibr,22.14,10.933,33.459,4.85,36.60278371,-122.37457242
2003-07-19 14:10:00,tibr,23.92,10.898,33.463,4.73,36.60278214,-122.37458557
2003-07-19 14:10:30,tibr,27.1,10.865,33.465,4.72,36.60283857,-122.37456928
2003-07-19 14:11:00,tibr,28.69,10.824,33.473,4.7,36.60286071,-122.37456757
2003-07-19 14:11:30,tibr,33.45,10.675,33.489,4.54,36.60287114,-122.37457442
2003-07-19 14:12:00,tibr,36.43,10.651,33.491,4.48,36.60282285,-122.37451828
2003-07-19 14:12:30,tibr,36.43,10.643,33.493,4.46,36.60282625,-122.374491
2003-07-19 14:13:00,tibr,41.09,10.474,33.514,4.41,36.60283937,-122.37449137
2003-07-19 14:13:30,tibr,44.17,10.029,33.54,3.95,36.60283975,-122.374526
2003-07-19 14:14:00,tibr,49.63,9.541,33.562,3.49,36.60283975,-122.37457462
2003-07-19 14:14:30,tibr,51.12,9.566,33.628,3.53,36.60283087,-122.37458212
2003-07-19 14:15:00,tibr,49.83,9.536,33.562,3.44,36.6028285,-122.37458775
2003-07-19 14:15:30,tibr,52.51,9.648,33.658,3.59,36.60278942,-122.37460485
2003-07-19 14:16:00,tibr,53,9.618,33.668,3.62,36.60279271,-122.37457114
2003-07-19 14:16:30,tibr,52.51,9.636,33.665,3.62,36.60278328,-122.374582
2003-07-19 14:17:00,tibr,51.51,9.642,33.664,3.62,36.60282257,-122.37460828
2003-07-19 14:17:30,tibr,51.02,9.646,33.659,3.59,36.602794,-122.37452714
2003-07-19 14:18:00,tibr,53.3,9.594,33.669,3.62,36.602834,-122.37450814
2003-07-19 14:18:30,tibr,51.12,9.646,33.655,3.6,36.60284185,-122.37449485
2003-07-19 14:19:00,tibr,53,9.594,33.668,3.63,36.60282512,-122.37450475
2003-07-19 14:19:30,tibr,55.98,9.567,33.678,3.58,36.6028415,-122.37450325
2003-07-19 14:20:00,tibr,68.58,9.404,33.74,2.91,36.60283125,-122.37451137
2003-07-19 14:20:30,tibr,78.71,9.288,33.756,3.06,36.60276775,-122.37455162
2003-07-19 14:21:00,tibr,88.13,9.275,33.758,3.03,36.60276037,-122.37459925
2003-07-19 14:21:30,tibr,100.44,9.23,33.799,2.69,36.60273562,-122.37460112
2003-07-19 14:22:00,tibr,111.45,9.186,33.809,2.43,36.60268628,-122.37456571
2003-07-19 14:22:30,tibr,121.07,9.08,33.815,2.28,36.60268,-122.3746
2003-07-19 14:23:00,tibr,130.8,8.9,33.843,2.34,36.60269328,-122.37459771
2003-07-19 14:23:30,tibr,142.8,8.854,33.873,2.03,36.60277428,-122.374646
2003-07-19 14:24:00,tibr,155.5,8.733,33.904,1.85,36.602782,-122.374688
2003-07-19 14:24:30,tibr,169.09,8.575,33.911,2,36.60280771,-122.37472514
2003-07-19 14:25:00,tibr,180.39,8.555,33.934,1.72,36.60279671,-122.37470471
2003-07-19 14:25:30,tibr,192,8.567,33.947,1.66,36.602785,-122.374699
