rovCtdDtg,vehicle,depth,temper,salin,oxyg,lat,lon
2002-09-09 16:15:15,vnta,8.34,13.421,33.772,5.07,36.861522,-122.149773
2002-09-09 16:15:45,vnta,11.12,13.417,33.776,4.79,36.861522,-122.149773
2002-09-09 16:16:15,vnta,11.61,13.392,33.777,4.63,36.861522,-122.149773
2002-09-09 16:16:45,vnta,12.71,13.389,33.776,4.67,36.861522,-122.149773
2002-09-09 16:17:15,vnta,29.78,11.314,33.813,4.85,36.71495342,-122.11892685
2002-09-09 16:17:45,vnta,48.83,10.331,33.849,3.37,36.707601,-122.05891328
2002-09-09 16:18:15,vnta,66.8,9.943,33.909,2.82,36.70758137,-122.05907725
2002-09-09 16:18:45,vnta,81.98,9.646,33.976,2.5,36.70778662,-122.05935412
2002-09-09 16:19:15,vnta,93.09,9.49,34.02,2.3,36.70808462,-122.0595485
2002-09-09 16:19:45,vnta,94.38,9.453,34.03,2.22,36.70835712,-122.05965862
2002-09-09 16:20:15,vnta,89.92,9.506,34.014,2.24,36.7084835,-122.05956187
2002-09-09 16:20:45,vnta,80.89,9.562,33.997,2.29,36.70845585,-122.05971714
2002-09-09 16:21:15,vnta,72.06,9.772,33.932,2.44,36.70853657,-122.05965828
2002-09-09 16:21:45,vnta,61.34,9.929,33.911,2.63,36.7087,-122.059485
2002-09-09 16:22:15,vnta,51.42,10.044,33.881,2.79,36.70879585,-122.05934285
2002-09-09 16:22:45,vnta,48.64,10.107,33.87,2.86,36.70887842,-122.059321
2002-09-09 16:23:15,vnta,47.74,10.108,33.87,2.87,36.70891514,-122.05933457
2002-09-09 16:23:45,vnta,49.23,10.102,33.872,2.86,36.70897357,-122.05917871
2002-09-09 16:24:15,vnta,50.52,10.107,33.875,2.89,36.7089025,-122.05946475
2002-09-09 16:24:45,vnta,51.51,10.057,33.886,2.85,36.7089065,-122.05956475
2002-09-09 16:25:15,vnta,53.4,10.035,33.888,2.83,36.70890914,-122.059665
2002-09-09 16:25:45,vnta,55.38,10.025,33.9,2.83,36.708977,-122.059612
2002-09-09 16:26:15,vnta,57.27,9.976,33.908,2.8,36.70897,-122.05981437
2002-09-09 16:26:45,vnta,58.26,9.991,33.89,2.77,36.70893487,-122.05989187
2002-09-09 16:27:15,vnta,57.37,9.934,33.912,2.7,36.70905075,-122.05984875
2002-09-09 16:27:45,vnta,55.58,9.945,33.914,2.67,36.709123,-122.059815
2002-09-09 16:28:15,vnta,53.5,9.98,33.899,2.69,36.709151,-122.05993385
2002-09-09 16:28:45,vnta,49.93,10.029,33.884,2.79,36.70901857,-122.06019357
2002-09-09 16:29:15,vnta,48.74,10.053,33.881,2.81,36.708897,-122.060387
2002-09-09 16:29:45,vnta,49.03,10.037,33.883,2.81,36.7089,-122.060475
2002-09-09 16:30:15,vnta,48.83,10.027,33.884,2.81,36.709192,-122.06012187
2002-09-09 16:30:45,vnta,49.03,10.023,33.884,2.8,36.709626,-122.05953225
2002-09-09 16:31:15,vnta,49.43,10.01,33.887,2.8,36.70982837,-122.05921512
2002-09-09 16:31:45,vnta,50.32,9.977,33.897,2.73,36.709788,-122.059373
2002-09-09 16:32:15,vnta,50.62,9.976,33.899,2.72,36.7099225,-122.059287
