MICROX 8 v1.1 (© 10/99 by PreSens)	10/24/2000	1:41:51 PM						

time	phi/°	amp/mV	DC/mV	Oxygen/%	phi/°	amp/mV	DC/mV	Oxygen/%
								
2:11:18 PM 2:07:19 PM	33.77	2066	0	102.4	32.65	2309	0	108.7
2:15:19 PM 2:07:21 PM	33.79	2066	0	102.1	31.2	2198	0	129
2:19:20 PM 2:07:23 PM	33.93	2071	0	100.3	32.94	2298	0	104.9
2:23:21 PM 2:07:25 PM	33.82	2071	0	101.7	33.14	2320	0	102.3
2:27:22 PM 2:07:27 PM	33.78	2070	0	102.3	33.11	2324	0	102.6
2:31:23 PM 2:07:29 PM	33.98	2075	0	99.8	33.33	2335	0	99.9
2:35:24 PM 2:07:31 PM	33.9	2071	0	100.7	33.34	2338	0	99.7
2:39:25 PM 2:07:33 PM	34.09	2077	0	98.3	33.82	2361	0	93.8
2:43:26 PM 2:07:35 PM	34.09	2075	0	98.3	34.04	2365	0	91.1
2:47:27 PM 2:07:37 PM	34.07	2074	0	98.5	33.82	2366	0	93.8
2:51:27 PM 2:07:39 PM	34.18	2076	0	97.2	34.06	2373	0	90.9
2:55:29 PM 2:07:41 PM	34.1	2072	0	98.2	34.46	2391	0	86.1
2:59:29 PM 2:07:43 PM	34.15	2072	0	97.6	34.49	2396	0	85.8
3:03:30 PM 2:07:45 PM	34.2	2078	0	96.9	34.48	2398	0	85.9
3:07:31 PM 2:07:47 PM	34.07	2065	0	98.5	34.69	2405	0	83.5
3:11:32 PM 2:07:49 PM	34.13	2070	0	97.8	34.53	2402	0	85.3
3:15:33 PM 2:07:51 PM	33.94	2064	0	100.2	34.86	2406	0	81.5
3:19:34 PM 2:07:53 PM	34.08	2064	0	98.5	34.93	2415	0	80.7
3:23:35 PM 2:07:55 PM	34.21	2072	0	96.8	34.87	2417	0	81.5
3:27:36 PM 2:07:57 PM	34.14	2072	0	97.7	35.12	2427	0	78.7
3:31:37 PM 2:07:59 PM	34.27	2069	0	96	34.73	2403	0	83
3:35:38 PM 2:08:01 PM	34.2	2073	0	96.9	35.06	2422	0	79.3
3:39:39 PM 2:08:03 PM	34.17	2066	0	97.3	35.24	2433	0	77.3
3:43:40 PM 2:08:05 PM	34.27	2071	0	96.1	35.35	2445	0	76.1
3:47:41 PM 2:08:07 PM	34.28	2071	0	95.9	35.5	2450	0	74.5
3:51:42 PM 2:08:09 PM	34.22	2075	0	96.7	35.54	2463	0	74.1
3:55:42 PM 2:08:11 PM	34.46	2087	0	93.7	35.75	2467	0	71.8
3:59:44 PM 2:08:13 PM	34.4	2074	0	94.4	35.96	2475	0	69.5
4:03:45 PM 2:08:15 PM	34.49	2091	0	93.3	35.95	2480	0	69.7
4:07:45 PM 2:08:17 PM	34.43	2083	0	94.1	36	2484	0	69.1
4:11:46 PM 2:08:19 PM	34.28	2074	0	95.9	36.02	2477	0	69
4:15:47 PM 2:08:21 PM	34.33	2076	0	95.3	35.99	2486	0	69.2
4:19:48 PM 2:08:23 PM	34.25	2081	0	96.3	36.3	2489	0	66
4:23:49 PM 2:08:25 PM	34.35	2084	0	95.1	36.3	2493	0	66
4:27:50 PM 2:08:27 PM	34.47	2078	0	93.6	36.28	2506	0	66.3
4:31:51 PM 2:08:29 PM	34.46	2078	0	93.8	36.49	2503	0	64.1
4:35:52 PM 2:08:31 PM	34.52	2084	0	93	36.32	2490	0	65.9
4:39:53 PM 2:08:33 PM	34.7	2085	0	90.8	36.59	2495	0	63.1
4:43:54 PM 2:08:35 PM	34.68	2093	0	91	36.52	2497	0	63.8
4:47:55 PM 2:08:37 PM	34.38	2079	0	94.7	36.61	2511	0	62.9
4:51:56 PM 2:08:39 PM	34.68	2086	0	91	36.81	2517	0	60.9
4:55:57 PM 2:08:41 PM	34.58	2076	0	92.2	36.88	2520	0	60.2
4:59:58 PM 2:08:43 PM	34.61	2085	0	91.9	37.25	2527	0	56.6
5:03:59 PM 2:08:45 PM	34.58	2079	0	92.3	36.69	2510	0	62.1
5:08:00 PM 2:08:47 PM	35.23	2111	0	84.5	36.99	2517	0	59.2
5:12:00 PM 2:08:49 PM	36.69	2188	0	68.4	37.31	2542	0	56
5:16:01 PM 2:08:51 PM	36.39	2184	0	71.7	37.56	2543	0	53.7
5:20:02 PM 2:08:53 PM	36.44	2176	0	71.1	37.44	2542	0	54.8
5:24:03 PM 2:08:55 PM	36.51	2182	0	70.3	37.43	2541	0	54.9
5:28:04 PM 2:08:57 PM	36.54	2181	0	70	37.58	2548	0	53.5
5:32:05 PM 2:08:59 PM	34.67	2081	0	91.2	37.61	2561	0	53.2
5:36:06 PM 2:09:01 PM	35.02	2097	0	87	37.85	2562	0	51
5:40:07 PM 2:09:03 PM	34.69	2081	0	90.9	37.92	2563	0	50.3
5:44:08 PM 2:09:05 PM	34.9	2084	0	88.4	37.88	2565	0	50.6
5:48:09 PM 2:09:07 PM	34.86	2093	0	88.9	37.94	2567	0	50.1
5:52:10 PM 2:09:09 PM	34.95	2099	0	87.9	37.77	2568	0	51.7
5:56:11 PM 2:09:11 PM	35.05	2100	0	86.7	37.96	2567	0	49.9
6:00:12 PM 2:09:13 PM	35.13	2105	0	85.7	37.98	2568	0	49.7
6:04:13 PM 2:09:15 PM	34.97	2098	0	87.6	38.04	2577	0	49.2
6:08:14 PM 2:09:17 PM	34.94	2100	0	87.9	38.01	2577	0	49.4
6:12:15 PM 2:09:19 PM	35.17	2103	0	85.3	38.27	2588	0	47.1
6:16:15 PM 2:09:21 PM	35.08	2107	0	86.3	38.53	2601	0	44.7
6:20:16 PM 2:09:23 PM	35.06	2109	0	86.5	38.32	2593	0	46.6
6:24:17 PM 2:09:25 PM	35.24	2109	0	84.5	38.58	2603	0	44.3
6:28:18 PM 2:09:27 PM	35.32	2111	0	83.5	38.44	2602	0	45.6
6:32:19 PM 2:09:29 PM	35.28	2114	0	84	39.03	2624	0	40.3
6:36:20 PM 2:09:31 PM	35.32	2114	0	83.5	38.95	2633	0	41
6:40:21 PM 2:09:33 PM	35.15	2110	0	85.5	39.28	2643	0	38.2
6:44:22 PM 2:09:35 PM	35.28	2115	0	84	39.11	2637	0	39.7
6:48:23 PM 2:09:37 PM	35.33	2110	0	83.3	39.27	2634	0	38.2
6:52:24 PM 2:09:39 PM	35.28	2115	0	83.9	39.32	2636	0	37.9
6:56:25 PM 2:09:41 PM	35.17	2112	0	85.2	39.61	2648	0	35.4
7:00:26 PM 2:09:43 PM	35.22	2105	0	84.7	39.59	2656	0	35.6
7:04:27 PM 2:09:45 PM	35.25	2113	0	84.3	39.73	2662	0	34.4
7:08:28 PM 2:09:47 PM	35.44	2110	0	82.1	39.82	2667	0	33.6
