YEAR,DATE,SITE,GROUP,TREATMENT,ID,FLUX PLOT ID,VEGETATION TYPE,PLOT SIZE,SPECIES,FUNCTIONAL TYPE,TISSUE,LEAF AREA ,DRY BIOMASS kg ,DRY BIOMASS g,SLA ,%C,%N,CARBON,NITROGEN ,C:N RATIO,C/LA ,C/LM,N/LA ,N/LM ,comments,,
2005,14-Jun,Abisko,Stepps,Control,B1,n/a,Betula,26cm circle,EMP NIG,E,ALL,0.00919,0.00176,1.759,5.224,52.860,1.046,0.930,0.018,50.535,101.187,528.600,2.002,10.460,,,
2005,14-Jun,Abisko,Stepps,Control,B1,n/a,Betula,26cm circle,GRAMMINOID,GRM,ALL,0.00455,0.00032,0.324,14.044,43.755,1.644,0.142,0.005,26.623,31.156,437.550,1.170,16.435,,,
2005,14-Jun,Abisko,Stepps,Control,B1,n/a,Betula,26cm circle,VAC ULI,D,ALL,0.00345,0.00010,0.104,33.324,48.089,4.763,0.050,0.005,10.096,14.431,480.885,1.429,47.630,,,
2005,14-Jun,Abisko,Stepps,Control,B1,n/a,Betula,26cm circle,VAC VIT,E,ALL,0.00328,0.00062,0.617,5.306,49.659,0.769,0.306,0.005,64.576,93.586,496.590,1.449,7.690,,,
2005,14-Jun,Abisko,Stepps,Control,B1,n/a,Betula,26cm circle,AND POL,E,ALL,0.00179,0.00020,0.201,8.925,48.349,1.231,0.097,0.002,39.276,54.170,483.490,1.379,12.310,,,
2005,14-Jun,Abisko,Stepps,Control,B1,n/a,Betula,26cm circle,EQU SPP,P,ALL,0.00097,0.00008,0.076,12.657,38.827,3.131,0.030,0.002,12.401,30.676,388.270,2.474,31.310,,,
2005,14-Jun,Abisko,Stepps,Control,B1,n/a,Betula,26cm circle,SAL PUL,D,ALL,0.00094,0.00007,0.071,13.267,46.993,5.061,0.033,0.004,9.285,35.420,469.925,3.815,50.610,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,B1,n/a,Betula,26cm circle,BET NAN,D,ALL,0.00041,0.00011,0.113,3.632,49.315,3.813,0.056,0.004,12.934,135.798,493.154,10.499,38.128,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,B2,n/a,Betula,26cm circle,EMP NIG,E,ALL,0.01378,0.00260,2.603,5.292,51.173,1.091,1.332,0.028,46.905,96.700,511.730,2.062,10.910,,,
2005,14-Jun,Abisko,Stepps,Control,B2,n/a,Betula,26cm circle,VAC VIT,E,ALL,0.00387,0.00066,0.661,5.861,48.546,0.833,0.321,0.006,58.279,82.828,485.460,1.421,8.330,,,
2005,14-Jun,Abisko,Stepps,Control,B2,n/a,Betula,26cm circle,BET NAN,D,ALL,0.00245,0.00063,0.634,3.866,49.339,4.309,0.313,0.027,11.450,127.637,493.390,11.147,43.090,,,
2005,14-Jun,Abisko,Stepps,Control,B2,n/a,Betula,26cm circle,AND POL,E,ALL,0.00109,0.00014,0.143,7.622,49.445,1.219,0.071,0.002,40.555,64.868,494.452,1.600,12.192,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,B2,n/a,Betula,26cm circle,CAR SPP,S,ALL,0.00071,0.00006,0.060,11.730,45.177,2.260,0.027,0.001,19.990,38.512,451.765,1.927,22.600,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,B2,n/a,Betula,26cm circle,VAC ULI,D,ALL,0.00054,0.00005,0.050,10.825,48.296,3.923,0.024,0.002,12.311,44.615,482.958,3.624,39.230,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,B2,n/a,Betula,26cm circle,EQU SPP,P,ALL,0.00033,0.00005,0.049,6.748,38.827,3.131,0.019,0.002,12.401,57.539,388.270,4.640,31.310,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,B2,n/a,Betula,26cm circle,SAL PUL,D,ALL,0.00003,0.00001,0.008,4.250,46.993,5.061,0.004,0.000,9.285,110.571,469.925,11.908,50.610,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,B3,n/a,Betula,26cm circle,VAC VIT,E,ALL,0.01302,0.00176,1.762,7.391,49.035,0.881,0.864,0.016,55.658,66.343,490.350,1.192,8.810,,,
2005,14-Jun,Abisko,Stepps,Control,B3,n/a,Betula,26cm circle,BET NAN,D,ALL,0.00393,0.00130,1.295,3.035,50.270,3.997,0.651,0.052,12.577,165.659,502.695,13.172,39.970,,,
2005,14-Jun,Abisko,Stepps,Control,B3,n/a,Betula,26cm circle,EMP NIG,E,ALL,0.00287,0.00051,0.512,5.612,51.815,1.211,0.265,0.006,42.787,92.336,518.150,2.158,12.110,,,
2005,14-Jun,Abisko,Stepps,Control,B3,n/a,Betula,26cm circle,CAR SPP,S,ALL,0.00041,0.00004,0.040,10.253,45.177,2.260,0.018,0.001,19.990,44.064,451.765,2.204,22.600,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,H3,n/a,Heath,26cm circle,EMP NIG,E,ALL,0.03705,0.00842,8.425,4.398,52.644,0.905,4.435,0.076,58.170,119.697,526.435,2.058,9.050,,,
2005,14-Jun,Abisko,Stepps,Control,H3,n/a,Heath,26cm circle,VAC VIT,E,ALL,0.00153,0.00022,0.215,7.128,49.167,0.863,0.106,0.002,56.972,68.975,491.670,1.211,8.630,,,
2005,14-Jun,Abisko,Stepps,Control,H3,n/a,Heath,26cm circle,AND POL,E,ALL,0.00083,0.00013,0.134,6.164,49.445,1.219,0.066,0.002,40.555,80.214,494.452,1.978,12.192,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,H3,n/a,Heath,26cm circle,VAC ULI,D,ALL,0.00014,0.00001,0.014,10.219,48.296,3.923,0.007,0.001,12.311,47.261,482.958,3.839,39.230,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,H3,n/a,Heath,26cm circle,GRAMMINOID,GRM,ALL,0.00007,0.00000,0.005,13.878,44.209,1.891,0.002,0.000,23.379,31.856,442.088,1.363,18.910,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,R1,n/a,Rocky,26cm circle,VAC ULI,D,ALL,0.00732,0.00050,0.502,14.589,48.427,3.163,0.243,0.016,15.310,33.193,484.270,2.168,31.630,,,
2005,14-Jun,Abisko,Stepps,Control,R1,n/a,Rocky,26cm circle,EMP NIG,E,ALL,0.00539,0.00116,1.156,4.663,52.084,1.019,0.602,0.012,51.113,111.708,520.840,2.186,10.190,,,
2005,14-Jun,Abisko,Stepps,Control,R1,n/a,Rocky,26cm circle,BET NAN,D,ALL,0.00274,0.00019,0.191,14.325,47.821,3.162,0.091,0.006,15.124,33.384,478.210,2.207,31.620,,,
2005,14-Jun,Abisko,Stepps,Control,R1,n/a,Rocky,26cm circle,AND POL,E,ALL,0.00037,0.00004,0.045,8.382,49.445,1.219,0.022,0.001,40.555,58.990,494.452,1.455,12.192,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,R1,n/a,Rocky,26cm circle,DIA LAP,E,ALL,0.00025,0.00002,0.015,16.405,44.892,0.849,0.007,0.000,52.907,27.364,448.920,0.517,8.485,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,R1,n/a,Rocky,26cm circle,GRAMMINOID,GRM,ALL,0.00023,0.00000,0.003,66.765,44.209,1.891,0.002,0.000,23.379,6.622,442.088,0.283,18.910,%C and %N estimated from CHN anlysis done on other samples of this species collected around approximately the same date,,
2005,14-Jun,Abisko,Stepps,Control,R2,n/a,Rocky,26cm circle,LOI PRO,E,ALL,0.00330,0.00063,0.634,5.197,53.164,0.722,0.337,0.005,73.634,102.294,531.640,1.389,7.220,,,
2005,14-Jun,Abisko,Stepps,Control,R2,n/a,Rocky,26cm circle,EMP NIG,E,ALL,0.00248,0.00054,0.541,4.586,51.764,0.885,0.280,0.005,58.490,112.868,517.640,1.930,8.850,,,
2005,14-Jun,Abisko,Stepps,Control,R2,n/a,Rocky,26cm circle,VAC ULI,D,ALL,0.00203,0.00016,0.163,12.419,48.511,3.003,0.079,0.005,16.154,39.062,485.110,2.418,30.030,,,
