x	BlueLED
350.12	4
350.48	8
350.85	3
351.21	11
351.58	13
351.94	12
352.30	4
352.67	8
353.03	10
353.40	11
353.76	6
354.12	11
354.49	11
354.85	11
355.22	16
355.58	11
355.94	9
356.31	14
356.67	9
357.03	10
357.40	14
357.76	11
358.12	12
358.49	10
358.85	8
359.22	11
359.58	17
359.94	10
360.31	16
360.67	11
361.03	8
361.40	12
361.76	13
362.12	11
362.48	12
362.85	8
363.21	10
363.57	9
363.94	9
364.30	11
364.66	11
365.03	10
365.39	12
365.75	10
366.11	12
366.48	10
366.84	6
367.20	6
367.57	9
367.93	6
368.29	14
368.65	11
369.02	12
369.38	9
369.74	9
370.10	12
370.47	9
370.83	8
371.19	13
371.55	12
371.92	9
372.28	9
372.64	10
373.00	9
373.37	9
373.73	9
374.09	12
374.45	7
374.81	7
375.18	10
375.54	13
375.90	11
376.26	7
376.62	6
376.99	8
377.35	13
377.71	13
378.07	8
378.43	12
378.79	11
379.16	11
379.52	12
379.88	9
380.24	7
380.60	10
380.96	11
381.33	14
381.69	13
382.05	11
382.41	11
382.77	10
383.13	13
383.49	11
383.85	11
384.22	10
384.58	9
384.94	10
385.30	15
385.66	13
386.02	12
386.38	13
386.74	13
387.10	12
387.47	10
387.83	10
388.19	14
388.55	9
388.91	6
389.27	13
389.63	12
389.99	8
390.35	13
390.71	9
391.07	14
391.43	9
391.79	10
392.15	8
392.51	8
392.88	6
393.24	10
393.60	14
393.96	12
394.32	8
394.68	8
395.04	9
395.40	8
395.76	11
396.12	10
396.48	10
396.84	10
397.20	10
397.56	11
397.92	12
398.28	10
398.64	14
399.00	12
399.36	9
399.72	11
400.08	14
400.44	13
400.80	10
401.16	14
401.52	6
401.87	8
402.23	11
402.59	11
402.95	9
403.31	14
403.67	13
404.03	13
404.39	11
404.75	14
405.11	10
405.47	9
405.83	8
406.19	10
406.55	10
406.91	11
407.26	10
407.62	12
407.98	11
408.34	13
408.70	11
409.06	17
409.42	12
409.78	9
410.14	12
410.49	16
410.85	9
411.21	9
411.57	9
411.93	9
412.29	12
412.65	9
413.00	11
413.36	8
413.72	12
414.08	11
414.44	16
414.80	13
415.16	10
415.51	12
415.87	9
416.23	7
416.59	7
416.95	10
417.30	13
417.66	11
418.02	10
418.38	8
418.74	12
419.09	12
419.45	10
419.81	7
420.17	9
420.53	8
420.88	12
421.24	12
421.60	14
421.96	10
422.31	13
422.67	14
423.03	11
423.39	13
423.74	13
424.10	14
424.46	18
424.82	11
425.17	13
425.53	13
425.89	11
426.25	14
426.60	13
426.96	12
427.32	17
427.67	16
428.03	8
428.39	14
428.75	16
429.10	18
429.46	18
429.82	16
430.17	19
430.53	17
430.89	15
431.24	15
431.60	23
431.96	24
432.31	19
432.67	25
433.03	19
433.38	23
433.74	21
434.10	26
434.45	24
434.81	31
435.17	28
435.52	24
435.88	30
436.23	31
436.59	30
436.95	36
437.30	32
437.66	38
438.02	40
438.37	41
438.73	37
439.08	41
439.44	44
439.80	47
440.15	45
440.51	52
440.86	52
441.22	57
441.57	61
441.93	57
442.29	65
442.64	61
443.00	73
443.35	69
443.71	77
444.06	85
444.42	87
444.77	88
445.13	96
445.49	102
445.84	99
446.20	106
446.55	114
446.91	119
447.26	126
447.62	124
447.97	124
448.33	142
448.68	139
449.04	158
449.39	167
449.75	166
450.10	176
450.46	183
450.81	193
451.17	201
451.52	207
451.88	224
452.23	236
452.58	249
452.94	248
453.29	264
453.65	279
454.00	282
454.36	301
454.71	318
455.07	345
455.42	344
455.78	362
456.13	372
456.48	397
456.84	416
457.19	441
457.55	453
457.90	474
458.25	496
458.61	523
458.96	555
459.32	596
459.67	602
460.02	625
460.38	669
460.73	672
461.09	714
461.44	752
461.79	780
462.15	798
462.50	851
462.85	909
463.21	976
463.56	1013
463.91	1042
464.27	1081
464.62	1159
464.97	1193
465.33	1224
465.68	1321
466.03	1370
466.39	1442
466.74	1486
467.09	1576
467.45	1634
467.80	1706
468.15	1749
468.51	1811
468.86	1911
469.21	1974
469.57	2023
469.92	2109
470.27	2214
470.62	2252
470.98	2346
471.33	2411
471.68	2495
472.03	2528
472.39	2587
472.74	2682
473.09	2778
473.45	2785
473.80	2848
474.15	2970
474.50	2982
474.85	3025
475.21	3076
475.56	3106
475.91	3144
476.26	3129
476.62	3176
476.97	3221
477.32	3222
477.67	3258
478.02	3298
478.38	3234
478.73	3289
479.08	3280
479.43	3243
479.78	3264
480.14	3219
480.49	3221
480.84	3212
481.19	3191
481.54	3158
481.89	3121
482.25	3060
482.60	3040
482.95	3021
483.30	2960
483.65	2921
484.00	2881
484.35	2803
484.71	2813
485.06	2777
485.41	2721
485.76	2674
486.11	2610
486.46	2568
486.81	2538
487.16	2474
487.52	2436
487.87	2405
488.22	2349
488.57	2317
488.92	2272
489.27	2247
489.62	2168
489.97	2137
490.32	2112
490.67	2069
491.02	2010
491.37	2013
491.73	1924
492.08	1888
492.43	1853
492.78	1847
493.13	1787
493.48	1718
493.83	1700
494.18	1677
494.53	1644
494.88	1590
495.23	1593
495.58	1526
495.93	1518
496.28	1474
496.63	1420
496.98	1376
497.33	1347
497.68	1318
498.03	1292
498.38	1264
498.73	1210
499.08	1174
499.43	1159
499.78	1121
500.13	1076
500.48	1048
500.83	1064
501.18	1008
501.53	990
501.88	947
502.23	944
502.58	936
502.92	871
503.27	840
503.62	837
503.97	806
504.32	769
504.67	762
505.02	748
505.37	732
505.72	715
506.07	691
506.42	666
506.77	644
507.11	630
507.46	619
507.81	575
508.16	566
508.51	549
508.86	547
509.21	541
509.56	505
509.90	504
510.25	476
510.60	465
510.95	444
511.30	446
511.65	424
512.00	400
512.34	397
512.69	397
513.04	371
513.39	362
513.74	352
514.09	353
514.43	339
514.78	325
515.13	307
515.48	308
515.83	307
516.17	297
516.52	284
516.87	252
517.22	261
517.57	257
517.91	245
518.26	257
518.61	230
518.96	231
519.30	229
