x	Green
350.12	9
350.48	9
350.85	12
351.21	12
351.58	7
351.94	12
352.3	8
352.67	11
353.03	8
353.4	7
353.76	9
354.12	11
354.49	9
354.85	12
355.22	13
355.58	14
355.94	8
356.31	9
356.67	13
357.03	12
357.4	11
357.76	7
358.12	12
358.49	10
358.85	12
359.22	11
359.58	12
359.94	8
360.31	8
360.67	9
361.03	10
361.4	6
361.76	7
362.12	8
362.48	13
362.85	11
363.21	11
363.57	10
363.94	13
364.3	7
364.66	9
365.03	12
365.39	11
365.75	10
366.11	8
366.48	7
366.84	8
367.2	9
367.57	10
367.93	8
368.29	8
368.65	12
369.02	13
369.38	8
369.74	13
370.1	9
370.47	10
370.83	9
371.19	11
371.55	8
371.92	7
372.28	8
372.64	7
373	11
373.37	16
373.73	15
374.09	11
374.45	9
374.81	13
375.18	9
375.54	10
375.9	9
376.26	13
376.62	7
376.99	5
377.35	10
377.71	9
378.07	12
378.43	10
378.79	12
379.16	10
379.52	9
379.88	12
380.24	11
380.6	9
380.96	12
381.33	7
381.69	7
382.05	9
382.41	10
382.77	10
383.13	7
383.49	9
383.85	5
384.22	11
384.58	11
384.94	9
385.3	11
385.66	10
386.02	13
386.38	9
386.74	9
387.1	7
387.47	9
387.83	12
388.19	14
388.55	10
388.91	8
389.27	12
389.63	10
389.99	9
390.35	7
390.71	7
391.07	10
391.43	7
391.79	9
392.15	10
392.51	8
392.88	17
393.24	10
393.6	7
393.96	9
394.32	14
394.68	9
395.04	11
395.4	10
395.76	6
396.12	11
396.48	13
396.84	11
397.2	10
397.56	12
397.92	8
398.28	7
398.64	9
399	9
399.36	13
399.72	14
400.08	13
400.44	12
400.8	12
401.16	10
401.52	11
401.87	10
402.23	13
402.59	9
402.95	14
403.31	14
403.67	9
404.03	10
404.39	14
404.75	10
405.11	9
405.47	9
405.83	13
406.19	12
406.55	12
406.91	11
407.26	9
407.62	12
407.98	11
408.34	11
408.7	11
409.06	9
409.42	14
409.78	15
410.14	10
410.49	11
410.85	10
411.21	11
411.57	9
411.93	15
412.29	12
412.65	13
413	12
413.36	11
413.72	9
414.08	9
414.44	13
414.8	10
415.16	12
415.51	12
415.87	13
416.23	15
416.59	12
416.95	11
417.3	11
417.66	11
418.02	16
418.38	13
418.74	12
419.09	14
419.45	13
419.81	12
420.17	14
420.53	13
420.88	16
421.24	14
421.6	18
421.96	16
422.31	18
422.67	14
423.03	12
423.39	13
423.74	15
424.1	15
424.46	12
424.82	15
425.17	11
425.53	14
425.89	14
426.25	15
426.6	13
426.96	14
427.32	13
427.67	18
428.03	14
428.39	15
428.75	13
429.1	12
429.46	17
429.82	11
430.17	12
430.53	17
430.89	14
431.24	12
431.6	13
431.96	10
432.31	13
432.67	15
433.03	11
433.38	17
433.74	15
434.1	14
434.45	16
434.81	18
435.17	16
435.52	15
435.88	17
436.23	11
436.59	14
436.95	17
437.3	19
437.66	18
438.02	15
438.37	20
438.73	22
439.08	14
439.44	14
439.8	17
440.15	18
440.51	17
440.86	16
441.22	19
441.57	16
441.93	13
442.29	15
442.64	17
443	18
443.35	16
443.71	20
444.06	20
444.42	17
444.77	15
445.13	15
445.49	22
445.84	21
446.2	21
446.55	19
446.91	12
447.26	21
447.62	26
447.97	21
448.33	17
448.68	17
449.04	20
449.39	22
449.75	18
450.1	20
450.46	26
450.81	22
451.17	19
451.52	18
451.88	19
452.23	17
452.58	18
452.94	23
453.29	26
453.65	19
454	19
454.36	24
454.71	26
455.07	25
455.42	32
455.78	28
456.13	23
456.48	24
456.84	23
457.19	23
457.55	26
457.9	32
458.25	26
458.61	24
458.96	30
459.32	28
459.67	24
460.02	32
460.38	24
460.73	32
461.09	30
461.44	31
461.79	29
462.15	29
462.5	38
462.85	33
463.21	34
463.56	42
463.91	37
464.27	41
464.62	41
464.97	43
465.33	42
465.68	47
466.03	45
466.39	54
466.74	48
467.09	53
467.45	53
467.8	51
468.15	50
468.51	60
468.86	59
469.21	65
469.57	60
469.92	70
470.27	75
470.62	70
470.98	72
471.33	67
471.68	80
472.03	82
472.39	82
472.74	89
473.09	93
473.45	103
473.8	103
474.15	110
474.5	111
474.85	119
475.21	113
475.56	137
475.91	127
476.26	138
476.62	146
476.97	151
477.32	156
477.67	159
478.02	159
478.38	164
478.73	174
479.08	186
479.43	196
479.78	200
480.14	212
480.49	213
480.84	225
481.19	243
481.54	258
481.89	258
482.25	267
482.6	278
482.95	299
483.3	305
483.65	329
484	335
484.35	363
484.71	368
485.06	390
485.41	412
485.76	424
486.11	447
486.46	465
486.81	495
487.16	506
487.52	532
487.87	571
488.22	583
488.57	628
488.92	646
489.27	685
489.62	710
489.97	734
490.32	775
490.67	812
491.02	846
491.37	869
491.73	920
492.08	982
492.43	1007
492.78	1048
493.13	1103
493.48	1155
493.83	1200
494.18	1259
494.53	1305
494.88	1356
495.23	1409
495.58	1460
495.93	1528
496.28	1597
496.63	1650
496.98	1699
497.33	1757
497.68	1838
498.03	1868
498.38	1956
498.73	2006
499.08	2058
499.43	2141
499.78	2199
500.13	2240
500.48	2334
500.83	2392
501.18	2449
501.53	2526
501.88	2560
502.23	2629
502.58	2685
502.92	2741
503.27	2815
503.62	2864
503.97	2911
504.32	2955
504.67	3028
505.02	3114
505.37	3120
505.72	3152
506.07	3187
506.42	3242
506.77	3274
507.11	3328
507.46	3341
507.81	3371
508.16	3413
508.51	3442
508.86	3432
509.21	3455
509.56	3472
509.9	3474
510.25	3459
510.6	3491
510.95	3513
511.3	3504
511.65	3461
512	3487
512.34	3496
512.69	3474
513.04	3476
513.39	3446
513.74	3452
514.09	3411
514.43	3364
514.78	3391
515.13	3355
515.48	3307
515.83	3241
516.17	3243
516.52	3190
516.87	3145
517.22	3106
517.57	3049
517.91	3034
518.26	2975
518.61	2914
518.96	2878
519.3	2830
519.65	2812
520	2741
520.35	2720
520.69	2650
521.04	2598
521.39	2521
521.74	2483
522.08	2451
522.43	2370
522.78	2320
523.12	2286
523.47	2205
523.82	2201
524.17	2109
524.51	2081
524.86	2033
525.21	1998
525.55	1915
525.9	1873
526.25	1848
526.59	1789
526.94	1742
527.29	1708
527.63	1657
527.98	1639
528.33	1605
528.67	1554
529.02	1496
529.37	1466
529.71	1446
530.06	1412
530.41	1397
530.75	1328
531.1	1297
531.45	1262
531.79	1219
532.14	1193
532.48	1183
532.83	1158
533.18	1113
533.52	1079
533.87	1040
534.21	1019
534.56	998
534.91	989
535.25	946
535.6	936
535.94	905
536.29	866
536.64	863
536.98	831
537.33	810
537.67	801
538.02	757
538.36	750
538.71	724
539.05	704
539.4	679
539.74	679
540.09	661
540.44	646
540.78	608
541.13	602
541.47	591
541.82	560
542.16	561
542.51	533
542.85	515
543.2	516
543.54	489
543.89	474
544.23	471
544.58	459
544.92	451
545.26	443
545.61	423
545.95	409
546.3	394
546.64	394
546.99	382
547.33	361
547.68	352
548.02	358
548.37	348
548.71	332
549.05	316
549.4	326
549.74	303
550.09	302
550.43	294
550.77	286
551.12	286
551.46	266
551.81	265
552.15	254
552.49	244
552.84	245
553.18	249
553.53	233
553.87	225
554.21	213
554.56	212
554.9	212
555.24	208
555.59	201
555.93	199
556.27	197
556.62	189
556.96	181
557.3	167
557.65	176
557.99	171
558.33	162
558.68	161
559.02	156
559.36	148
559.71	145
560.05	150
560.39	132
560.74	140
561.08	136
561.42	117
561.76	127
562.11	123
562.45	114
562.79	114
563.14	110
563.48	107
563.82	107
564.16	103
564.51	105
564.85	97
565.19	102
565.53	89
565.88	88
566.22	85
566.56	89
566.9	78
567.24	81
567.59	84
567.93	81
568.27	75
568.61	73
568.95	72
569.3	67
569.64	68
569.98	61
570.32	65
570.66	58
571.01	58
571.35	64
571.69	57
572.03	58
572.37	57
572.71	60
573.05	54
573.4	51
573.74	50
574.08	53
574.42	49
574.76	46
575.1	48
575.44	41
575.79	44
576.13	41
576.47	38
576.81	40
577.15	38
577.49	40
577.83	40
578.17	39
578.51	36
578.85	33
579.19	35
579.54	36
579.88	38
580.22	39
580.56	35
580.9	33
581.24	28
581.58	32
581.92	31
582.26	28
582.6	31
582.94	30
583.28	26
583.62	28
583.96	30
584.3	31
584.64	28
584.98	23
585.32	25
585.66	28
586	26
586.34	29
586.68	21
587.02	19
587.36	22
587.7	19
588.04	26
588.38	22
588.72	22
589.06	27
589.4	23
589.74	27
590.08	28
590.42	24
590.76	21
591.1	18
591.43	17
591.77	19
592.11	21
592.45	24
592.79	22
593.13	18
593.47	16
593.81	18
594.15	19
594.49	12
594.83	21
595.16	23
595.5	16
595.84	20
596.18	15
596.52	17
596.86	17
597.2	18
597.53	20
597.87	18
598.21	16
598.55	15
598.89	15
599.23	14
599.57	18
599.9	22
600.24	14
600.58	16
600.92	16
601.26	19
601.59	16
601.93	15
602.27	16
602.61	13
602.95	14
603.28	15
603.62	12
603.96	15
604.3	15
604.63	14
604.97	18
605.31	11
605.65	14
605.98	12
606.32	16
606.66	16
607	11
607.33	11
607.67	12
608.01	17
608.35	18
608.68	21
609.02	15
609.36	16
609.69	18
610.03	17
610.37	16
610.71	19
611.04	16
611.38	18
611.72	17
612.05	19
612.39	18
612.73	15
613.06	13
613.4	15
613.74	16
614.07	12
614.41	14
614.75	16
615.08	18
615.42	15
615.75	8
616.09	12
616.43	14
616.76	14
617.1	16
617.44	16
617.77	16
618.11	13
618.44	12
618.78	11
619.11	13
619.45	13
619.79	17
620.12	14
620.46	16
620.79	14
621.13	15
621.46	10
621.8	14
622.14	11
622.47	9
622.81	12
623.14	14
623.48	12
623.81	12
624.15	11
624.48	10
624.82	10
625.15	12
625.49	9
625.82	7
626.16	15
626.49	10
626.83	8
627.16	12
627.5	10
627.83	10
628.17	13
628.5	12
628.84	12
629.17	14
629.51	9
629.84	7
630.17	8
630.51	15
630.84	13
631.18	9
631.51	11
631.85	12
632.18	10
632.52	13
632.85	6
633.18	6
633.52	9
633.85	11
634.19	10
634.52	11
634.85	11
635.19	9
635.52	10
635.85	8
636.19	10
636.52	10
636.86	10
637.19	8
637.52	9
637.86	10
638.19	10
638.52	11
638.86	15
639.19	13
639.52	10
639.86	7
640.19	7
640.52	11
640.86	12
641.19	10
641.52	9
641.85	8
642.19	9
642.52	9
642.85	10
643.19	15
643.52	9
643.85	7
644.18	10
644.52	10
644.85	8
645.18	7
645.51	11
645.85	12
646.18	13
646.51	10
646.84	8
647.18	10
647.51	8
647.84	10
648.17	4
648.5	7
648.84	4
649.17	13
649.5	6
649.83	8
650.16	8
650.5	7
650.83	11
651.16	8
651.49	13
651.82	10
652.16	9
652.49	11
652.82	8
653.15	12
653.48	12
653.81	10
654.14	8
654.48	8
654.81	8
655.14	9
655.47	9
655.8	11
656.13	7
656.46	9
656.79	7
657.12	9
657.46	10
657.79	8
658.12	6
658.45	10
658.78	4
659.11	12
659.44	8
659.77	9
660.1	11
660.43	10
660.76	9
661.09	11
661.42	12
661.75	11
662.08	4
662.41	9
662.74	10
663.07	7
663.4	7
663.73	13
664.06	10
664.39	9
664.72	9
665.05	9
665.38	9
665.71	14
666.04	13
666.37	12
666.7	15
667.03	11
667.36	13
667.69	11
668.02	10
668.35	14
668.68	10
669.01	9
669.34	12
669.67	12
670	9
670.33	8
670.66	9
670.99	10
671.31	12
671.64	12
671.97	12
672.3	16
672.63	10
672.96	12
673.29	9
673.62	9
673.95	13
674.27	13
674.6	8
674.93	13
675.26	10
675.59	7
675.92	12
676.25	12
676.57	6
676.9	6
677.23	9
677.56	11
677.89	12
678.22	12
678.54	9
678.87	10
679.2	15
679.53	11
679.86	12
680.18	7
680.51	13
680.84	9
681.17	8
681.49	9
681.82	10
682.15	7
682.48	7
682.8	10
683.13	8
683.46	10
683.79	12
684.11	14
684.44	8
684.77	9
685.1	8
685.42	12
685.75	8
686.08	8
686.4	10
686.73	12
687.06	11
687.39	14
687.71	14
688.04	8
688.37	11
688.69	8
689.02	6
689.35	6
689.67	9
690	13
690.33	8
690.65	8
690.98	9
691.3	10
691.63	12
691.96	16
692.28	10
692.61	6
692.94	8
693.26	7
693.59	10
693.91	10
694.24	11
694.57	7
694.89	11
695.22	10
695.54	2
695.87	11
696.19	8
696.52	8
696.85	9
697.17	6
697.5	9
697.82	13
698.15	5
698.47	10
698.8	10
699.12	10
699.45	10
699.77	10
700.1	11
700.42	8
700.75	11
701.07	6
701.4	10
701.72	11
702.05	12
702.37	11
702.7	11
703.02	11
703.35	10
703.67	11
704	11
704.32	14
704.65	14
704.97	9
705.3	9
705.62	11
705.94	10
706.27	8
706.59	11
706.92	8
707.24	9
707.56	13
707.89	12
708.21	10
708.54	10
708.86	6
709.18	10
709.51	8
709.83	13
710.16	7
710.48	10
710.8	14
711.13	12
711.45	8
711.77	11
712.1	9
712.42	12
712.74	9
713.07	14
713.39	9
713.71	9
714.04	10
714.36	13
714.68	8
715.01	11
715.33	9
715.65	9
715.97	7
716.3	14
