x	Red
350.12	13
350.48	11
350.85	12
351.21	10
351.58	14
351.94	13
352.3	10
352.67	13
353.03	12
353.4	12
353.76	9
354.12	12
354.49	12
354.85	10
355.22	10
355.58	11
355.94	13
356.31	12
356.67	13
357.03	11
357.4	12
357.76	11
358.12	12
358.49	12
358.85	8
359.22	15
359.58	12
359.94	12
360.31	10
360.67	11
361.03	11
361.4	3
361.76	8
362.12	3
362.48	9
362.85	11
363.21	9
363.57	13
363.94	8
364.3	12
364.66	9
365.03	11
365.39	10
365.75	10
366.11	13
366.48	14
366.84	12
367.2	10
367.57	9
367.93	11
368.29	12
368.65	12
369.02	13
369.38	8
369.74	10
370.1	10
370.47	13
370.83	12
371.19	14
371.55	12
371.92	10
372.28	13
372.64	10
373	9
373.37	11
373.73	10
374.09	15
374.45	12
374.81	14
375.18	8
375.54	8
375.9	17
376.26	13
376.62	10
376.99	7
377.35	13
377.71	9
378.07	8
378.43	5
378.79	10
379.16	10
379.52	9
379.88	9
380.24	7
380.6	10
380.96	12
381.33	13
381.69	8
382.05	14
382.41	9
382.77	7
383.13	10
383.49	11
383.85	7
384.22	15
384.58	11
384.94	10
385.3	6
385.66	1
386.02	8
386.38	12
386.74	8
387.1	6
387.47	6
387.83	10
388.19	10
388.55	11
388.91	13
389.27	13
389.63	10
389.99	6
390.35	11
390.71	12
391.07	14
391.43	11
391.79	13
392.15	14
392.51	10
392.88	12
393.24	8
393.6	7
393.96	11
394.32	4
394.68	9
395.04	13
395.4	9
395.76	13
396.12	14
396.48	12
396.84	9
397.2	14
397.56	19
397.92	13
398.28	11
398.64	9
399	12
399.36	7
399.72	15
400.08	12
400.44	10
400.8	10
401.16	16
401.52	14
401.87	8
402.23	9
402.59	8
402.95	7
403.31	8
403.67	14
404.03	10
404.39	13
404.75	12
405.11	12
405.47	11
405.83	11
406.19	11
406.55	12
406.91	13
407.26	11
407.62	13
407.98	9
408.34	10
408.7	8
409.06	13
409.42	9
409.78	13
410.14	7
410.49	8
410.85	12
411.21	11
411.57	11
411.93	9
412.29	14
412.65	8
413	15
413.36	9
413.72	8
414.08	8
414.44	9
414.8	12
415.16	9
415.51	12
415.87	4
416.23	8
416.59	11
416.95	10
417.3	14
417.66	15
418.02	14
418.38	13
418.74	12
419.09	12
419.45	10
419.81	11
420.17	8
420.53	11
420.88	16
421.24	12
421.6	13
421.96	13
422.31	9
422.67	8
423.03	9
423.39	11
423.74	0
424.1	7
424.46	10
424.82	7
425.17	12
425.53	9
425.89	11
426.25	11
426.6	6
426.96	7
427.32	8
427.67	10
428.03	8
428.39	9
428.75	8
429.1	9
429.46	9
429.82	7
430.17	8
430.53	10
430.89	8
431.24	12
431.6	10
431.96	14
432.31	11
432.67	15
433.03	12
433.38	11
433.74	11
434.1	10
434.45	8
434.81	15
435.17	14
435.52	12
435.88	9
436.23	10
436.59	11
436.95	6
437.3	5
437.66	11
438.02	10
438.37	15
438.73	15
439.08	10
439.44	6
439.8	14
440.15	10
440.51	16
440.86	12
441.22	12
441.57	11
441.93	12
442.29	10
442.64	8
443	10
443.35	13
443.71	11
444.06	14
444.42	11
444.77	12
445.13	10
445.49	10
445.84	11
446.2	9
446.55	10
446.91	9
447.26	8
447.62	8
447.97	14
448.33	10
448.68	13
449.04	14
449.39	9
449.75	2
450.1	7
450.46	11
450.81	12
451.17	17
451.52	12
451.88	11
452.23	11
452.58	7
452.94	8
453.29	10
453.65	14
454	10
454.36	9
454.71	13
455.07	10
455.42	10
455.78	10
456.13	9
456.48	11
456.84	10
457.19	9
457.55	10
457.9	12
458.25	11
458.61	8
458.96	13
459.32	9
459.67	10
460.02	10
460.38	9
460.73	9
461.09	6
461.44	9
461.79	14
462.15	12
462.5	6
462.85	9
463.21	14
463.56	6
463.91	6
464.27	7
464.62	10
464.97	11
465.33	6
465.68	6
466.03	8
466.39	7
466.74	6
467.09	8
467.45	13
467.8	9
468.15	12
468.51	13
468.86	11
469.21	8
469.57	9
469.92	11
470.27	12
470.62	8
470.98	12
471.33	10
471.68	12
472.03	10
472.39	8
472.74	10
473.09	10
473.45	10
473.8	7
474.15	11
474.5	11
474.85	9
475.21	9
475.56	11
475.91	9
476.26	10
476.62	8
476.97	9
477.32	17
477.67	16
478.02	12
478.38	12
478.73	9
479.08	19
479.43	12
479.78	4
480.14	5
480.49	9
480.84	14
481.19	9
481.54	10
481.89	10
482.25	13
482.6	10
482.95	11
483.3	10
483.65	10
484	13
484.35	11
484.71	13
485.06	11
485.41	13
485.76	8
486.11	11
486.46	14
486.81	13
487.16	11
487.52	16
487.87	12
488.22	13
488.57	10
488.92	10
489.27	10
489.62	10
489.97	14
490.32	12
490.67	12
491.02	10
491.37	8
491.73	10
492.08	9
492.43	9
492.78	13
493.13	14
493.48	9
493.83	17
494.18	13
494.53	10
494.88	8
495.23	8
495.58	14
495.93	13
496.28	10
496.63	11
496.98	13
497.33	9
497.68	12
498.03	10
498.38	11
498.73	14
499.08	13
499.43	14
499.78	10
500.13	6
500.48	7
500.83	11
501.18	13
501.53	14
501.88	9
502.23	12
502.58	14
502.92	10
503.27	9
503.62	13
503.97	10
504.32	8
504.67	11
505.02	12
505.37	7
505.72	16
506.07	10
506.42	11
506.77	12
507.11	12
507.46	14
507.81	17
508.16	12
508.51	10
508.86	11
509.21	10
509.56	9
509.9	7
510.25	12
510.6	10
510.95	9
511.3	8
511.65	11
512	15
512.34	9
512.69	10
513.04	9
513.39	7
513.74	8
514.09	8
514.43	10
514.78	10
515.13	8
515.48	10
515.83	8
516.17	6
516.52	10
516.87	10
517.22	10
517.57	11
517.91	13
518.26	11
518.61	10
518.96	13
519.3	10
519.65	11
520	10
520.35	12
520.69	13
521.04	8
521.39	11
521.74	10
522.08	12
522.43	12
522.78	10
523.12	7
523.47	6
523.82	8
524.17	9
524.51	6
524.86	10
525.21	11
525.55	9
525.9	9
526.25	15
526.59	13
526.94	9
527.29	14
527.63	12
527.98	11
528.33	12
528.67	14
529.02	12
529.37	11
529.71	14
530.06	10
530.41	11
530.75	6
531.1	9
531.45	10
531.79	13
532.14	11
532.48	12
532.83	13
533.18	10
533.52	10
533.87	7
534.21	9
534.56	10
534.91	8
535.25	6
535.6	5
535.94	11
536.29	11
536.64	10
536.98	12
537.33	15
537.67	14
538.02	14
538.36	12
538.71	10
539.05	15
539.4	12
539.74	14
540.09	11
540.44	11
540.78	12
541.13	12
541.47	13
541.82	19
542.16	15
542.51	14
542.85	13
543.2	15
543.54	15
543.89	17
544.23	15
544.58	17
544.92	12
545.26	14
545.61	18
545.95	19
546.3	14
546.64	10
546.99	12
547.33	12
547.68	9
548.02	9
548.37	12
548.71	12
549.05	19
549.4	14
549.74	12
550.09	16
550.43	13
550.77	14
551.12	14
551.46	10
551.81	14
552.15	10
552.49	10
552.84	15
553.18	12
553.53	8
553.87	11
554.21	10
554.56	14
554.9	11
555.24	16
555.59	15
555.93	14
556.27	22
556.62	16
556.96	13
557.3	15
557.65	12
557.99	11
558.33	18
558.68	13
559.02	10
559.36	9
559.71	15
560.05	9
560.39	13
560.74	16
561.08	14
561.42	13
561.76	11
562.11	7
562.45	13
562.79	16
563.14	6
563.48	13
563.82	6
564.16	9
564.51	13
564.85	17
565.19	15
565.53	13
565.88	7
566.22	11
566.56	15
566.9	10
567.24	15
567.59	19
567.93	16
568.27	14
568.61	14
568.95	14
569.3	14
569.64	12
569.98	10
570.32	14
570.66	11
571.01	13
571.35	14
571.69	14
572.03	12
572.37	10
572.71	15
573.05	13
573.4	13
573.74	10
574.08	14
574.42	13
574.76	9
575.1	17
575.44	13
575.79	16
576.13	14
576.47	16
576.81	14
577.15	15
577.49	13
577.83	17
578.17	15
578.51	19
578.85	18
579.19	15
579.54	16
579.88	16
580.22	20
580.56	9
580.9	14
581.24	16
581.58	15
581.92	19
582.26	20
582.6	23
582.94	20
583.28	19
583.62	18
583.96	15
584.3	19
584.64	18
584.98	21
585.32	21
585.66	25
586	21
586.34	25
586.68	25
587.02	24
587.36	22
587.7	30
588.04	25
588.38	31
588.72	27
589.06	28
589.4	27
589.74	26
590.08	31
590.42	33
590.76	37
591.1	33
591.43	35
591.77	36
592.11	36
592.45	38
592.79	38
593.13	39
593.47	45
593.81	49
594.15	42
594.49	50
594.83	53
595.16	57
595.5	53
595.84	58
596.18	58
596.52	62
596.86	61
597.2	69
597.53	68
597.87	73
598.21	74
598.55	83
598.89	76
599.23	78
599.57	80
599.9	98
600.24	93
600.58	89
600.92	101
601.26	102
601.59	104
601.93	97
602.27	106
602.61	109
602.95	120
603.28	121
603.62	122
603.96	129
604.3	131
604.63	130
604.97	140
605.31	147
605.65	150
605.98	150
606.32	159
606.66	169
607	175
607.33	171
607.67	174
608.01	186
608.35	190
608.68	185
609.02	207
609.36	212
609.69	218
610.03	220
610.37	232
610.71	236
611.04	249
611.38	248
611.72	250
612.05	267
612.39	264
612.73	269
613.06	284
613.4	290
613.74	288
614.07	284
614.41	314
614.75	320
615.08	329
615.42	337
615.75	331
616.09	344
616.43	357
616.76	371
617.1	366
617.44	379
617.77	394
618.11	400
618.44	423
618.78	417
619.11	439
619.45	444
619.79	455
620.12	465
620.46	482
620.79	478
621.13	495
