x	Yellow
350.12	8
350.48	7
350.85	4
351.21	5
351.58	8
351.94	8
352.3	15
352.67	14
353.03	13
353.4	9
353.76	7
354.12	13
354.49	12
354.85	10
355.22	6
355.58	5
355.94	11
356.31	12
356.67	9
357.03	8
357.4	11
357.76	6
358.12	9
358.49	8
358.85	9
359.22	12
359.58	12
359.94	6
360.31	7
360.67	8
361.03	14
361.4	9
361.76	6
362.12	7
362.48	11
362.85	7
363.21	11
363.57	11
363.94	10
364.3	10
364.66	13
365.03	8
365.39	7
365.75	8
366.11	5
366.48	10
366.84	6
367.2	8
367.57	9
367.93	9
368.29	11
368.65	10
369.02	10
369.38	10
369.74	9
370.1	11
370.47	3
370.83	4
371.19	5
371.55	6
371.92	9
372.28	9
372.64	13
373	9
373.37	7
373.73	10
374.09	9
374.45	5
374.81	9
375.18	11
375.54	9
375.9	7
376.26	17
376.62	11
376.99	12
377.35	13
377.71	9
378.07	9
378.43	10
378.79	8
379.16	7
379.52	8
379.88	4
380.24	7
380.6	7
380.96	9
381.33	9
381.69	9
382.05	9
382.41	5
382.77	7
383.13	10
383.49	6
383.85	8
384.22	12
384.58	7
384.94	6
385.3	10
385.66	11
386.02	8
386.38	11
386.74	11
387.1	10
387.47	8
387.83	11
388.19	4
388.55	7
388.91	8
389.27	9
389.63	10
389.99	9
390.35	9
390.71	5
391.07	7
391.43	7
391.79	12
392.15	8
392.51	10
392.88	8
393.24	8
393.6	5
393.96	9
394.32	13
394.68	13
395.04	10
395.4	7
395.76	11
396.12	11
396.48	12
396.84	13
397.2	9
397.56	9
397.92	7
398.28	10
398.64	12
399	12
399.36	12
399.72	12
400.08	8
400.44	9
400.8	9
401.16	10
401.52	7
401.87	4
402.23	11
402.59	8
402.95	9
403.31	7
403.67	8
404.03	12
404.39	8
404.75	10
405.11	9
405.47	11
405.83	8
406.19	10
406.55	11
406.91	8
407.26	6
407.62	10
407.98	10
408.34	9
408.7	10
409.06	8
409.42	13
409.78	11
410.14	9
410.49	9
410.85	12
411.21	11
411.57	7
411.93	6
412.29	10
412.65	14
413	8
413.36	9
413.72	10
414.08	6
414.44	12
414.8	15
415.16	9
415.51	4
415.87	7
416.23	11
416.59	12
416.95	10
417.3	8
417.66	9
418.02	9
418.38	8
418.74	5
419.09	4
419.45	10
419.81	12
420.17	11
420.53	6
420.88	10
421.24	7
421.6	4
421.96	9
422.31	9
422.67	7
423.03	9
423.39	10
423.74	6
424.1	12
424.46	12
424.82	13
425.17	10
425.53	8
425.89	9
426.25	7
426.6	10
426.96	9
427.32	5
427.67	7
428.03	10
428.39	13
428.75	7
429.1	9
429.46	12
429.82	11
430.17	10
430.53	9
430.89	11
431.24	13
431.6	10
431.96	14
432.31	10
432.67	11
433.03	8
433.38	4
433.74	10
434.1	12
434.45	8
434.81	6
435.17	11
435.52	9
435.88	6
436.23	10
436.59	12
436.95	7
437.3	12
437.66	9
438.02	6
438.37	5
438.73	7
439.08	8
439.44	10
439.8	9
440.15	5
440.51	11
440.86	9
441.22	12
441.57	9
441.93	9
442.29	9
442.64	11
443	11
443.35	11
443.71	9
444.06	9
444.42	12
444.77	10
445.13	7
445.49	10
445.84	8
446.2	9
446.55	9
446.91	11
447.26	8
447.62	8
447.97	12
448.33	9
448.68	8
449.04	9
449.39	9
449.75	9
450.1	10
450.46	9
450.81	12
451.17	7
451.52	7
451.88	8
452.23	11
452.58	12
452.94	14
453.29	9
453.65	10
454	7
454.36	11
454.71	8
455.07	8
455.42	9
455.78	10
456.13	9
456.48	10
456.84	7
457.19	6
457.55	9
457.9	14
458.25	4
458.61	8
458.96	8
459.32	7
459.67	11
460.02	9
460.38	7
460.73	7
461.09	6
461.44	9
461.79	6
462.15	10
462.5	11
462.85	11
463.21	13
463.56	7
463.91	10
464.27	10
464.62	6
464.97	7
465.33	11
465.68	11
466.03	11
466.39	13
466.74	10
467.09	9
467.45	11
467.8	9
468.15	16
468.51	12
468.86	8
469.21	6
469.57	9
469.92	11
470.27	9
470.62	7
470.98	7
471.33	5
471.68	12
472.03	10
472.39	5
472.74	12
473.09	11
473.45	11
473.8	8
474.15	9
474.5	8
474.85	8
475.21	8
475.56	11
475.91	9
476.26	6
476.62	8
476.97	6
477.32	7
477.67	6
478.02	5
478.38	12
478.73	5
479.08	12
479.43	11
479.78	9
480.14	8
480.49	10
480.84	8
481.19	8
481.54	5
481.89	10
482.25	10
482.6	5
482.95	9
483.3	13
483.65	11
484	12
484.35	9
484.71	7
485.06	10
485.41	11
485.76	10
486.11	11
486.46	11
486.81	9
487.16	7
487.52	13
487.87	8
488.22	8
488.57	15
488.92	14
489.27	13
489.62	9
489.97	8
490.32	8
490.67	6
491.02	9
491.37	9
491.73	10
492.08	11
492.43	7
492.78	6
493.13	10
493.48	11
493.83	10
494.18	8
494.53	12
494.88	7
495.23	4
495.58	11
495.93	10
496.28	14
496.63	11
496.98	13
497.33	11
497.68	10
498.03	15
498.38	12
498.73	10
499.08	10
499.43	10
499.78	11
500.13	11
500.48	9
500.83	10
501.18	12
501.53	13
501.88	9
502.23	7
502.58	11
502.92	7
503.27	12
503.62	12
503.97	8
504.32	10
504.67	11
505.02	9
505.37	11
505.72	13
506.07	13
506.42	12
506.77	10
507.11	13
507.46	12
507.81	12
508.16	7
508.51	7
508.86	11
509.21	10
509.56	11
509.9	10
510.25	10
510.6	10
510.95	10
511.3	8
511.65	9
512	12
512.34	9
512.69	13
513.04	12
513.39	11
513.74	11
514.09	11
514.43	15
514.78	13
515.13	13
515.48	14
515.83	16
516.17	17
516.52	18
516.87	15
517.22	13
517.57	13
517.91	16
518.26	13
518.61	14
518.96	16
519.3	17
519.65	17
520	16
520.35	17
520.69	20
521.04	18
521.39	16
521.74	22
522.08	23
522.43	24
522.78	27
523.12	25
523.47	21
523.82	31
524.17	27
524.51	34
524.86	36
525.21	30
525.55	34
525.9	33
526.25	31
526.59	39
526.94	37
527.29	38
527.63	41
527.98	42
528.33	44
528.67	45
529.02	49
529.37	53
529.71	49
530.06	60
530.41	64
530.75	64
531.1	72
531.45	74
531.79	69
532.14	80
532.48	85
532.83	81
533.18	91
533.52	95
533.87	107
534.21	100
534.56	112
534.91	124
535.25	118
535.6	135
535.94	132
536.29	132
536.64	151
536.98	160
537.33	154
537.67	177
538.02	185
538.36	194
538.71	209
539.05	220
539.4	220
539.74	240
540.09	253
540.44	278
540.78	284
541.13	302
541.47	323
541.82	331
542.16	345
542.51	378
542.85	401
543.2	415
543.54	424
543.89	463
544.23	493
544.58	511
544.92	534
545.26	563
545.61	617
545.95	653
546.3	688
546.64	704
546.99	767
547.33	811
547.68	852
548.02	877
548.37	963
548.71	1006
549.05	1068
549.4	1142
549.74	1220
550.09	1271
550.43	1336
550.77	1442
551.12	1518
551.46	1636
551.81	1724
552.15	1836
552.49	1919
552.84	1979
553.18	2129
553.53	2247
553.87	2286
554.21	2400
554.56	2487
554.9	2547
555.24	2650
555.59	2725
555.93	2786
556.27	2880
556.62	2902
556.96	2988
557.3	3044
557.65	3090
557.99	3140
558.33	3161
558.68	3195
559.02	3288
559.36	3269
559.71	3318
560.05	3326
560.39	3371
560.74	3365
561.08	3366
561.42	3354
561.76	3388
562.11	3389
562.45	3414
562.79	3419
563.14	3441
563.48	3429
563.82	3467
564.16	3480
564.51	3511
564.85	3520
565.19	3530
565.53	3535
565.88	3559
566.22	3554
566.56	3529
566.9	3481
567.24	3486
567.59	3467
567.93	3436
568.27	3386
568.61	3349
568.95	3289
569.3	3248
569.64	3202
569.98	3146
570.32	3103
570.66	3058
571.01	2993
571.35	2913
571.69	2884
572.03	2830
572.37	2745
572.71	2721
573.05	2625
573.4	2582
573.74	2511
574.08	2482
574.42	2400
574.76	2334
575.1	2323
575.44	2252
575.79	2216
576.13	2181
576.47	2107
576.81	2099
577.15	2055
577.49	2019
577.83	1992
578.17	1935
578.51	1945
578.85	1864
579.19	1875
579.54	1824
579.88	1804
580.22	1764
580.56	1727
580.9	1704
581.24	1642
581.58	1649
581.92	1596
582.26	1588
582.6	1554
582.94	1501
583.28	1461
583.62	1465
583.96	1400
584.3	1401
584.64	1352
584.98	1375
585.32	1309
585.66	1288
586	1259
586.34	1236
586.68	1196
587.02	1173
587.36	1143
587.7	1125
588.04	1106
588.38	1091
588.72	1062
589.06	1038
589.4	1007
589.74	986
590.08	977
590.42	949
590.76	948
591.1	916
591.43	901
591.77	900
592.11	875
592.45	839
