Index	Date	Time	Readings (øF)	Type
1	9/29/2013	8:00:00 AM	32.4	
2	9/29/2013	8:35:00 AM	32.5	
3	9/29/2013	9:10:00 AM	32.5	
4	9/29/2013	9:45:00 AM	32.6	
5	9/29/2013	10:20:00 AM	32.8	
6	9/29/2013	10:55:00 AM	32.9	
7	9/29/2013	11:30:00 AM	33	
8	9/29/2013	12:05:00 PM	33	
9	9/29/2013	12:40:00 PM	33.2	
10	9/29/2013	1:15:00 PM	33.3	
11	9/29/2013	1:50:00 PM	33.3	
12	9/29/2013	2:25:00 PM	33.4	
13	9/29/2013	3:00:00 PM	33.4	
14	9/29/2013	3:35:00 PM	33.5	
15	9/29/2013	4:10:00 PM	33.6	
16	9/29/2013	4:45:00 PM	33.7	
17	9/29/2013	5:20:00 PM	33.6	
18	9/29/2013	5:55:00 PM	33.8	
19	9/29/2013	6:30:00 PM	33.8	
20	9/29/2013	7:05:00 PM	33.7	
21	9/29/2013	7:40:00 PM	33.7	
22	9/29/2013	8:15:00 PM	33.8	
23	9/29/2013	8:50:00 PM	33.9	
24	9/29/2013	9:25:00 PM	33.8	
25	9/29/2013	10:00:00 PM	33.7	
26	9/29/2013	10:35:00 PM	33.9	
27	9/29/2013	11:10:00 PM	33.8	
28	9/29/2013	11:45:00 PM	33.8	
29	9/30/2013	12:20:00 AM	33.6	
30	9/30/2013	12:55:00 AM	33.6	
31	9/30/2013	1:30:00 AM	33.5	
32	9/30/2013	2:05:00 AM	33.5	
33	9/30/2013	2:40:00 AM	33.5	
34	9/30/2013	3:15:00 AM	33.4	
35	9/30/2013	3:50:00 AM	33.4	
36	9/30/2013	4:25:00 AM	33.4	
37	9/30/2013	5:00:00 AM	33.4	
38	9/30/2013	5:35:00 AM	33.5	
39	9/30/2013	6:10:00 AM	33.4	
40	9/30/2013	6:45:00 AM	33.2	
41	9/30/2013	7:20:00 AM	33.2	
42	9/30/2013	7:55:00 AM	33.2	
43	9/30/2013	8:30:00 AM	33.1	
44	9/30/2013	9:05:00 AM	33.3	
45	9/30/2013	9:40:00 AM	33.4	
46	9/30/2013	10:15:00 AM	33.5	
47	9/30/2013	10:50:00 AM	33.5	
48	9/30/2013	11:25:00 AM	33.5	
49	9/30/2013	12:00:00 PM	33.5	
50	9/30/2013	12:35:00 PM	33.7	
51	9/30/2013	1:10:00 PM	33.7	
52	9/30/2013	1:45:00 PM	33.7	
53	9/30/2013	2:20:00 PM	33.9	
54	9/30/2013	2:55:00 PM	34.1	
55	9/30/2013	3:30:00 PM	34.1	
56	9/30/2013	4:05:00 PM	34.2	
57	9/30/2013	4:40:00 PM	34.2	
58	9/30/2013	5:15:00 PM	34.2	
59	9/30/2013	5:50:00 PM	34.2	
60	9/30/2013	6:25:00 PM	34.2	
