Index	Date	Time	Readings (øF)	Type
1	9/29/2013	8:00:00 AM	33.2	
2	9/29/2013	8:35:00 AM	33.3	
3	9/29/2013	9:10:00 AM	33.5	
4	9/29/2013	9:45:00 AM	33.9	
5	9/29/2013	10:20:00 AM	35	
6	9/29/2013	10:55:00 AM	35.9	
7	9/29/2013	11:30:00 AM	36.3	
8	9/29/2013	12:05:00 PM	36.7	
9	9/29/2013	12:40:00 PM	37	
10	9/29/2013	1:15:00 PM	37.1	
11	9/29/2013	1:50:00 PM	37.6	
12	9/29/2013	2:25:00 PM	38.2	
13	9/29/2013	3:00:00 PM	38.3	
14	9/29/2013	3:35:00 PM	38.5	
15	9/29/2013	4:10:00 PM	38.5	
16	9/29/2013	4:45:00 PM	38.3	
17	9/29/2013	5:20:00 PM	38.1	
18	9/29/2013	5:55:00 PM	37.8	
19	9/29/2013	6:30:00 PM	37.3	
20	9/29/2013	7:05:00 PM	36.8	
21	9/29/2013	7:40:00 PM	36.3	
22	9/29/2013	8:15:00 PM	36.1	
23	9/29/2013	8:50:00 PM	35.7	
24	9/29/2013	9:25:00 PM	35.3	
25	9/29/2013	10:00:00 PM	35	
26	9/29/2013	10:35:00 PM	34.8	
27	9/29/2013	11:10:00 PM	34.4	
28	9/29/2013	11:45:00 PM	34.1	
29	9/30/2013	12:20:00 AM	33.9	
30	9/30/2013	12:55:00 AM	33.7	
31	9/30/2013	1:30:00 AM	33.5	
32	9/30/2013	2:05:00 AM	33.3	
33	9/30/2013	2:40:00 AM	33.1	
34	9/30/2013	3:15:00 AM	32.9	
35	9/30/2013	3:50:00 AM	32.6	
36	9/30/2013	4:25:00 AM	32.4	
37	9/30/2013	5:00:00 AM	32.4	
38	9/30/2013	5:35:00 AM	32.4	
39	9/30/2013	6:10:00 AM	32.3	
40	9/30/2013	6:45:00 AM	32.1	
41	9/30/2013	7:20:00 AM	32.3	
42	9/30/2013	7:55:00 AM	32.6	
43	9/30/2013	8:30:00 AM	33.7	
44	9/30/2013	9:05:00 AM	38.8	
45	9/30/2013	9:40:00 AM	37.2	
46	9/30/2013	10:15:00 AM	36.8	
47	9/30/2013	10:50:00 AM	36.8	
48	9/30/2013	11:25:00 AM	37.5	
49	9/30/2013	12:00:00 PM	38	
50	9/30/2013	12:35:00 PM	38.3	
51	9/30/2013	1:10:00 PM	38.5	
52	9/30/2013	1:45:00 PM	39	
53	9/30/2013	2:20:00 PM	39.6	
54	9/30/2013	2:55:00 PM	39.5	
55	9/30/2013	3:30:00 PM	39.4	
56	9/30/2013	4:05:00 PM	39.7	
57	9/30/2013	4:40:00 PM	39.3	
58	9/30/2013	5:15:00 PM	38.7	
59	9/30/2013	5:50:00 PM	38.3	
60	9/30/2013	6:25:00 PM	37.9	
61	9/30/2013	7:00:00 PM	37.6	
62	9/30/2013	7:35:00 PM	37.4	
63	9/30/2013	8:10:00 PM	37.4	
64	9/30/2013	8:45:00 PM	37.4	
65	9/30/2013	9:20:00 PM	37.1	
66	9/30/2013	9:55:00 PM	36.6	
67	9/30/2013	10:30:00 PM	36.4	
68	9/30/2013	11:05:00 PM	36.3	
69	9/30/2013	11:40:00 PM	36.2	
70	10/1/2013	12:15:00 AM	36.1	
71	10/1/2013	12:50:00 AM	35.9	
72	10/1/2013	1:25:00 AM	35.8	
73	10/1/2013	2:00:00 AM	35.6	
74	10/1/2013	2:35:00 AM	35.4	
75	10/1/2013	3:10:00 AM	35.2	
76	10/1/2013	3:45:00 AM	35.1	
77	10/1/2013	4:20:00 AM	34.9	
78	10/1/2013	4:55:00 AM	34.9	
79	10/1/2013	5:30:00 AM	34.9	
80	10/1/2013	6:05:00 AM	34.8	
81	10/1/2013	6:40:00 AM	34.7	
82	10/1/2013	7:15:00 AM	34.8	
83	10/1/2013	7:50:00 AM	35.2	
84	10/1/2013	8:25:00 AM	36.9	
85	10/1/2013	9:00:00 AM	39.8	
86	10/1/2013	9:35:00 AM	42.7	
87	10/1/2013	10:10:00 AM	40.9	
88	10/1/2013	10:45:00 AM	40.4	
89	10/1/2013	11:20:00 AM	40.6	
90	10/1/2013	11:55:00 AM	41.2	
91	10/1/2013	12:30:00 PM	41.6	
92	10/1/2013	1:05:00 PM	41.9	
93	10/1/2013	1:40:00 PM	42.7	
94	10/1/2013	2:15:00 PM	43.6	
95	10/1/2013	2:50:00 PM	43.3	
96	10/1/2013	3:25:00 PM	43.5	
97	10/1/2013	4:00:00 PM	44.2	
98	10/1/2013	4:35:00 PM	44.2	
99	10/1/2013	5:10:00 PM	44	
100	10/1/2013	5:45:00 PM	43.2	
101	10/1/2013	6:20:00 PM	42.1	
102	10/1/2013	6:55:00 PM	41.2	
103	10/1/2013	7:30:00 PM	40.6	
104	10/1/2013	8:05:00 PM	40.4	
105	10/1/2013	8:40:00 PM	40	
106	10/1/2013	9:15:00 PM	39.8	
107	10/1/2013	9:50:00 PM	39.2	
108	10/1/2013	10:25:00 PM	38.7	
109	10/1/2013	11:00:00 PM	38.5	
110	10/1/2013	11:35:00 PM	38.2	
111	10/2/2013	12:10:00 AM	37.8	
112	10/2/2013	12:45:00 AM	38	
113	10/2/2013	1:20:00 AM	37.7	
114	10/2/2013	1:55:00 AM	37.5	
115	10/2/2013	2:30:00 AM	37.3	
116	10/2/2013	3:05:00 AM	37	
117	10/2/2013	3:40:00 AM	36.7	
118	10/2/2013	4:15:00 AM	36.4	
119	10/2/2013	4:50:00 AM	36.1	
120	10/2/2013	5:25:00 AM	35.9	
121	10/2/2013	6:00:00 AM	35.7	
122	10/2/2013	6:35:00 AM	35.2	
123	10/2/2013	7:10:00 AM	34.8	
124	10/2/2013	7:45:00 AM	35	
125	10/2/2013	8:20:00 AM	39.8	
126	10/2/2013	8:55:00 AM	46.7	
127	10/2/2013	9:30:00 AM	44.6	
128	10/2/2013	10:05:00 AM	41.8	
129	10/2/2013	10:40:00 AM	40.9	
130	10/2/2013	11:15:00 AM	40.9	
131	10/2/2013	11:50:00 AM	41.5	
132	10/2/2013	12:25:00 PM	41.9	
133	10/2/2013	1:00:00 PM	42.1	
134	10/2/2013	1:35:00 PM	42.4	
135	10/2/2013	2:10:00 PM	42.6	
136	10/2/2013	2:45:00 PM	42.7	
137	10/2/2013	3:20:00 PM	42.5	
138	10/2/2013	3:55:00 PM	42.2	
139	10/2/2013	4:30:00 PM	42	
140	10/2/2013	5:05:00 PM	41	
141	10/2/2013	5:40:00 PM	39.6	
142	10/2/2013	6:15:00 PM	38.6	
143	10/2/2013	6:50:00 PM	37.4	
144	10/2/2013	7:25:00 PM	36.5	
145	10/2/2013	8:00:00 PM	36.2	
146	10/2/2013	8:35:00 PM	36	
147	10/2/2013	9:10:00 PM	35.9	
148	10/2/2013	9:45:00 PM	35.4	
149	10/2/2013	10:20:00 PM	34.8	
150	10/2/2013	10:55:00 PM	34.3	
151	10/2/2013	11:30:00 PM	34.1	
152	10/3/2013	12:05:00 AM	33.7	
153	10/3/2013	12:40:00 AM	33.5	
154	10/3/2013	1:15:00 AM	33.1	
155	10/3/2013	1:50:00 AM	32.9	
156	10/3/2013	2:25:00 AM	32.6	
157	10/3/2013	3:00:00 AM	32.2	
158	10/3/2013	3:35:00 AM	32	
159	10/3/2013	4:10:00 AM	31.6	
160	10/3/2013	4:45:00 AM	31.3	
161	10/3/2013	5:20:00 AM	31	
162	10/3/2013	5:55:00 AM	30.8	
163	10/3/2013	6:30:00 AM	30.6	
164	10/3/2013	7:05:00 AM	30.4	
165	10/3/2013	7:40:00 AM	30.5	
166	10/3/2013	8:15:00 AM	37.6	
167	10/3/2013	8:50:00 AM	46.7	
168	10/3/2013	9:25:00 AM	44.1	
169	10/3/2013	10:00:00 AM	38.4	
170	10/3/2013	10:35:00 AM	36.9	
171	10/3/2013	11:10:00 AM	36.5	
172	10/3/2013	11:45:00 AM	36.9	
173	10/3/2013	12:20:00 PM	37.4	
174	10/3/2013	12:55:00 PM	38	
175	10/3/2013	1:30:00 PM	38.6	
176	10/3/2013	2:05:00 PM	39.3	
177	10/3/2013	2:40:00 PM	39.4	
178	10/3/2013	3:15:00 PM	38.8	
179	10/3/2013	3:50:00 PM	37.9	
180	10/3/2013	4:25:00 PM	36.9	
181	10/3/2013	5:00:00 PM	35.9	
182	10/3/2013	5:35:00 PM	34.7	
183	10/3/2013	6:10:00 PM	33.1	
184	10/3/2013	6:45:00 PM	32.1	
185	10/3/2013	7:20:00 PM	31.1	
186	10/3/2013	7:55:00 PM	29.1	
187	10/3/2013	8:30:00 PM	28.8	
188	10/3/2013	9:05:00 PM	27.4	
189	10/3/2013	9:40:00 PM	26.1	
190	10/3/2013	10:15:00 PM	25.7	
191	10/3/2013	10:50:00 PM	25.4	
192	10/3/2013	11:25:00 PM	25.6	
193	10/4/2013	12:00:00 AM	25.8	
194	10/4/2013	12:35:00 AM	26.2	
