Index	Date	Time	Readings (°F)	Type
1	9/29/2013	8:00:00 AM	31.5	
2	9/29/2013	8:35:00 AM	31.7	
3	9/29/2013	9:10:00 AM	31.8	
4	9/29/2013	9:45:00 AM	32	
5	9/29/2013	10:20:00 AM	32.3	
6	9/29/2013	10:55:00 AM	32.5	
7	9/29/2013	11:30:00 AM	32.7	
8	9/29/2013	12:05:00 PM	32.9	
9	9/29/2013	12:40:00 PM	33	
10	9/29/2013	1:15:00 PM	33.2	
11	9/29/2013	1:50:00 PM	33.2	
12	9/29/2013	2:25:00 PM	33.4	
13	9/29/2013	3:00:00 PM	33.4	
14	9/29/2013	3:35:00 PM	33.5	
15	9/29/2013	4:10:00 PM	33.4	
16	9/29/2013	4:45:00 PM	33.4	
17	9/29/2013	5:20:00 PM	33.4	
18	9/29/2013	5:55:00 PM	33.3	
19	9/29/2013	6:30:00 PM	33.3	
20	9/29/2013	7:05:00 PM	33.2	
21	9/29/2013	7:40:00 PM	33.1	
22	9/29/2013	8:15:00 PM	33	
23	9/29/2013	8:50:00 PM	33	
24	9/29/2013	9:25:00 PM	33	
25	9/29/2013	10:00:00 PM	32.9	
26	9/29/2013	10:35:00 PM	32.9	
27	9/29/2013	11:10:00 PM	32.8	
28	9/29/2013	11:45:00 PM	32.6	
29	9/30/2013	12:20:00 AM	32.5	
30	9/30/2013	12:55:00 AM	32.4	
31	9/30/2013	1:30:00 AM	32.3	
32	9/30/2013	2:05:00 AM	32.1	
33	9/30/2013	2:40:00 AM	32.1	
34	9/30/2013	3:15:00 AM	32	
35	9/30/2013	3:50:00 AM	31.8	
36	9/30/2013	4:25:00 AM	31.8	
37	9/30/2013	5:00:00 AM	31.7	
38	9/30/2013	5:35:00 AM	31.7	
39	9/30/2013	6:10:00 AM	31.6	
40	9/30/2013	6:45:00 AM	31.2	
41	9/30/2013	7:20:00 AM	31.2	
42	9/30/2013	7:55:00 AM	31.1	
43	9/30/2013	8:30:00 AM	31.3	
44	9/30/2013	9:05:00 AM	31.6	
45	9/30/2013	9:40:00 AM	31.9	
46	9/30/2013	10:15:00 AM	32.2	
47	9/30/2013	10:50:00 AM	32.4	
48	9/30/2013	11:25:00 AM	33.1	
49	9/30/2013	12:00:00 PM	33.3	
50	9/30/2013	12:35:00 PM	33.6	
51	9/30/2013	1:10:00 PM	33.7	
52	9/30/2013	1:45:00 PM	34	
53	9/30/2013	2:20:00 PM	34.4	
54	9/30/2013	2:55:00 PM	34.2	
55	9/30/2013	3:30:00 PM	34.3	
56	9/30/2013	4:05:00 PM	34.4	
57	9/30/2013	4:40:00 PM	34.4	
58	9/30/2013	5:15:00 PM	34.3	
59	9/30/2013	5:50:00 PM	33.8	
60	9/30/2013	6:25:00 PM	33.7	
61	9/30/2013	7:00:00 PM	34	
62	9/30/2013	7:35:00 PM	33.9	
63	9/30/2013	8:10:00 PM	33.8	
64	9/30/2013	8:45:00 PM	33.8	
65	9/30/2013	9:20:00 PM	33.8	
66	9/30/2013	9:55:00 PM	33.8	
67	9/30/2013	10:30:00 PM	33.8	
68	9/30/2013	11:05:00 PM	33.8	
69	9/30/2013	11:40:00 PM	33.7	
70	10/1/2013	12:15:00 AM	33.7	
71	10/1/2013	12:50:00 AM	33.8	
72	10/1/2013	1:25:00 AM	33.7	
73	10/1/2013	2:00:00 AM	33.6	
74	10/1/2013	2:35:00 AM	33.7	
75	10/1/2013	3:10:00 AM	33.6	
76	10/1/2013	3:45:00 AM	33.5	
77	10/1/2013	4:20:00 AM	33.5	
78	10/1/2013	4:55:00 AM	33.5	
79	10/1/2013	5:30:00 AM	33.5	
80	10/1/2013	6:05:00 AM	33.5	
81	10/1/2013	6:40:00 AM	33.4	
82	10/1/2013	7:15:00 AM	33.4	
83	10/1/2013	7:50:00 AM	33.4	
84	10/1/2013	8:25:00 AM	33.5	
85	10/1/2013	9:00:00 AM	33.7	
86	10/1/2013	9:35:00 AM	34	
87	10/1/2013	10:10:00 AM	34.4	
88	10/1/2013	10:45:00 AM	34.8	
89	10/1/2013	11:20:00 AM	35	
90	10/1/2013	11:55:00 AM	35.2	
91	10/1/2013	12:30:00 PM	35.4	
92	10/1/2013	1:05:00 PM	35.5	
93	10/1/2013	1:40:00 PM	35.5	
94	10/1/2013	2:15:00 PM	36.6	
95	10/1/2013	2:50:00 PM	36.3	
96	10/1/2013	3:25:00 PM	36.4	
97	10/1/2013	4:00:00 PM	37.1	
98	10/1/2013	4:35:00 PM	36.8	
99	10/1/2013	5:10:00 PM	36.1	
100	10/1/2013	5:45:00 PM	36.4	
101	10/1/2013	6:20:00 PM	36.1	
102	10/1/2013	6:55:00 PM	36.1	
103	10/1/2013	7:30:00 PM	36.1	
104	10/1/2013	8:05:00 PM	36.1	
105	10/1/2013	8:40:00 PM	35.8	
106	10/1/2013	9:15:00 PM	35.6	
107	10/1/2013	9:50:00 PM	35.6	
108	10/1/2013	10:25:00 PM	35.5	
109	10/1/2013	11:00:00 PM	35.4	
110	10/1/2013	11:35:00 PM	35.3	
111	10/2/2013	12:10:00 AM	35.2	
112	10/2/2013	12:45:00 AM	35.2	
113	10/2/2013	1:20:00 AM	35.1	
114	10/2/2013	1:55:00 AM	35	
115	10/2/2013	2:30:00 AM	34.9	
116	10/2/2013	3:05:00 AM	34.7	
117	10/2/2013	3:40:00 AM	34.6	
118	10/2/2013	4:15:00 AM	34.5	
119	10/2/2013	4:50:00 AM	34.3	
120	10/2/2013	5:25:00 AM	34.2	
121	10/2/2013	6:00:00 AM	34.1	
122	10/2/2013	6:35:00 AM	33.9	
123	10/2/2013	7:10:00 AM	33.7	
124	10/2/2013	7:45:00 AM	33.6	
125	10/2/2013	8:20:00 AM	33.8	
126	10/2/2013	8:55:00 AM	34.1	
127	10/2/2013	9:30:00 AM	34.7	
128	10/2/2013	10:05:00 AM	35.2	
129	10/2/2013	10:40:00 AM	35.7	
130	10/2/2013	11:15:00 AM	35.9	
131	10/2/2013	11:50:00 AM	36.8	
132	10/2/2013	12:25:00 PM	37.3	
133	10/2/2013	1:00:00 PM	37.7	
134	10/2/2013	1:35:00 PM	38.1	
135	10/2/2013	2:10:00 PM	38.3	
136	10/2/2013	2:45:00 PM	38.2	
137	10/2/2013	3:20:00 PM	38.3	
138	10/2/2013	3:55:00 PM	38	
139	10/2/2013	4:30:00 PM	37.9	
140	10/2/2013	5:05:00 PM	37.5	
141	10/2/2013	5:40:00 PM	37.2	
142	10/2/2013	6:15:00 PM	36.7	
143	10/2/2013	6:50:00 PM	36.1	
144	10/2/2013	7:25:00 PM	35.6	
145	10/2/2013	8:00:00 PM	35.3	
146	10/2/2013	8:35:00 PM	35.1	
147	10/2/2013	9:10:00 PM	34.8	
148	10/2/2013	9:45:00 PM	34.6	
149	10/2/2013	10:20:00 PM	34.4	
150	10/2/2013	10:55:00 PM	34.1	
151	10/2/2013	11:30:00 PM	33.7	
152	10/3/2013	12:05:00 AM	33.6	
153	10/3/2013	12:40:00 AM	33.5	
154	10/3/2013	1:15:00 AM	33.1	
155	10/3/2013	1:50:00 AM	32.9	
156	10/3/2013	2:25:00 AM	32.8	
157	10/3/2013	3:00:00 AM	32.5	
158	10/3/2013	3:35:00 AM	32.3	
159	10/3/2013	4:10:00 AM	32.2	
160	10/3/2013	4:45:00 AM	31.8	
161	10/3/2013	5:20:00 AM	31.7	
162	10/3/2013	5:55:00 AM	31.4	
163	10/3/2013	6:30:00 AM	31.3	
164	10/3/2013	7:05:00 AM	30.9	
165	10/3/2013	7:40:00 AM	30.8	
166	10/3/2013	8:15:00 AM	30.9	
167	10/3/2013	8:50:00 AM	31.4	
168	10/3/2013	9:25:00 AM	31.8	
169	10/3/2013	10:00:00 AM	32.4	
170	10/3/2013	10:35:00 AM	32.8	
171	10/3/2013	11:10:00 AM	32.9	
172	10/3/2013	11:45:00 AM	33.1	
173	10/3/2013	12:20:00 PM	33.5	
174	10/3/2013	12:55:00 PM	33.7	
175	10/3/2013	1:30:00 PM	34.1	
176	10/3/2013	2:05:00 PM	34.6	
177	10/3/2013	2:40:00 PM	34.5	
178	10/3/2013	3:15:00 PM	34.3	
179	10/3/2013	3:50:00 PM	34.3	
180	10/3/2013	4:25:00 PM	34.1	
181	10/3/2013	5:00:00 PM	33.8	
182	10/3/2013	5:35:00 PM	33.3	
183	10/3/2013	6:10:00 PM	32.9	
184	10/3/2013	6:45:00 PM	32.4	
185	10/3/2013	7:20:00 PM	32	
186	10/3/2013	7:55:00 PM	31.2	
187	10/3/2013	8:30:00 PM	30.6	
188	10/3/2013	9:05:00 PM	30.2	
189	10/3/2013	9:40:00 PM	29.4	
190	10/3/2013	10:15:00 PM	29.4	
191	10/3/2013	10:50:00 PM	29.7	
192	10/3/2013	11:25:00 PM	29.7	
193	10/4/2013	12:00:00 AM	29.2	
194	10/4/2013	12:35:00 AM	29.4	
195	10/4/2013	1:10:00 AM	29.8	
196	10/4/2013	1:45:00 AM	29.5	
197	10/4/2013	2:20:00 AM	29.6	
198	10/4/2013	2:55:00 AM	29.3	
199	10/4/2013	3:30:00 AM	28.9	
200	10/4/2013	4:05:00 AM	28.1	
201	10/4/2013	4:40:00 AM	27.5	
202	10/4/2013	5:15:00 AM	27.6	
203	10/4/2013	5:50:00 AM	27.4	
204	10/4/2013	6:25:00 AM	27.1	
205	10/4/2013	7:00:00 AM	27.4	
206	10/4/2013	7:35:00 AM	27.1	
207	10/4/2013	8:10:00 AM	26.5	
208	10/4/2013	8:45:00 AM	26.4	
209	10/4/2013	9:20:00 AM	27.1	
210	10/4/2013	9:55:00 AM	27.6	
211	10/4/2013	10:30:00 AM	28.1	
212	10/4/2013	11:05:00 AM	28.6	
