Index	Date	Time	Readings (°F)	Type
1	9/16/2013	8:00:00 AM	47.2	
2	9/16/2013	8:35:00 AM	50.2	
3	9/16/2013	9:10:00 AM	54.9	
4	9/16/2013	9:45:00 AM	64.1	
5	9/16/2013	10:20:00 AM	71.9	
6	9/16/2013	10:55:00 AM	70	
7	9/16/2013	11:30:00 AM	66.3	
8	9/16/2013	12:05:00 PM	60.1	
9	9/16/2013	12:40:00 PM	58.9	
10	9/16/2013	1:15:00 PM	59.7	
11	9/16/2013	1:50:00 PM	60.2	
12	9/16/2013	2:25:00 PM	60.3	
13	9/16/2013	3:00:00 PM	60.5	
14	9/16/2013	3:35:00 PM	59.8	
15	9/16/2013	4:10:00 PM	59.1	
16	9/16/2013	4:45:00 PM	58.4	
17	9/16/2013	5:20:00 PM	57.4	
18	9/16/2013	5:55:00 PM	56.5	
19	9/16/2013	6:30:00 PM	55.5	
20	9/16/2013	7:05:00 PM	54.5	
21	9/16/2013	7:40:00 PM	53.2	
22	9/16/2013	8:15:00 PM	51.9	
23	9/16/2013	8:50:00 PM	51.2	
24	9/16/2013	9:25:00 PM	50.2	
25	9/16/2013	10:00:00 PM	49.4	
26	9/16/2013	10:35:00 PM	48.6	
27	9/16/2013	11:10:00 PM	48.4	
28	9/16/2013	11:45:00 PM	47.9	
29	9/17/2013	12:20:00 AM	47.6	
30	9/17/2013	12:55:00 AM	46.8	
31	9/17/2013	1:30:00 AM	45.9	
32	9/17/2013	2:05:00 AM	45.7	
33	9/17/2013	2:40:00 AM	44.9	
34	9/17/2013	3:15:00 AM	44.4	
35	9/17/2013	3:50:00 AM	43.9	
36	9/17/2013	4:25:00 AM	43.4	
37	9/17/2013	5:00:00 AM	42.9	
38	9/17/2013	5:35:00 AM	42.4	
39	9/17/2013	6:10:00 AM	42	
40	9/17/2013	6:45:00 AM	41.5	
41	9/17/2013	7:20:00 AM	41.2	
42	9/17/2013	7:55:00 AM	42.9	
43	9/17/2013	8:30:00 AM	45.4	
44	9/17/2013	9:05:00 AM	49.2	
45	9/17/2013	9:40:00 AM	56.9	
46	9/17/2013	10:15:00 AM	64.7	
47	9/17/2013	10:50:00 AM	63.4	
48	9/17/2013	11:25:00 AM	59.6	
49	9/17/2013	12:00:00 PM	54.7	
50	9/17/2013	12:35:00 PM	51.6	
51	9/17/2013	1:10:00 PM	51.9	
52	9/17/2013	1:45:00 PM	51.9	
53	9/17/2013	2:20:00 PM	51.9	
54	9/17/2013	2:55:00 PM	51.6	
55	9/17/2013	3:30:00 PM	51.2	
56	9/17/2013	4:05:00 PM	50.2	
57	9/17/2013	4:40:00 PM	48.8	
58	9/17/2013	5:15:00 PM	47.5	
59	9/17/2013	5:50:00 PM	46.3	
60	9/17/2013	6:25:00 PM	45.1	
61	9/17/2013	7:00:00 PM	43.9	
62	9/17/2013	7:35:00 PM	43.1	
63	9/17/2013	8:10:00 PM	42.2	
64	9/17/2013	8:45:00 PM	41.8	
65	9/17/2013	9:20:00 PM	41.3	
66	9/17/2013	9:55:00 PM	40.9	
67	9/17/2013	10:30:00 PM	40.4	
68	9/17/2013	11:05:00 PM	40.2	
69	9/17/2013	11:40:00 PM	39.8	
70	9/18/2013	12:15:00 AM	40.2	
71	9/18/2013	12:50:00 AM	40.1	
72	9/18/2013	1:25:00 AM	39.5	
73	9/18/2013	2:00:00 AM	39	
74	9/18/2013	2:35:00 AM	38.3	
75	9/18/2013	3:10:00 AM	37.8	
76	9/18/2013	3:45:00 AM	37.3	
77	9/18/2013	4:20:00 AM	37.2	
78	9/18/2013	4:55:00 AM	36.9	
79	9/18/2013	5:30:00 AM	36.4	
80	9/18/2013	6:05:00 AM	36	
81	9/18/2013	6:40:00 AM	35.6	
82	9/18/2013	7:15:00 AM	35.4	
83	9/18/2013	7:50:00 AM	36.9	
84	9/18/2013	8:25:00 AM	39.5	
85	9/18/2013	9:00:00 AM	45.1	
86	9/18/2013	9:35:00 AM	55	
87	9/18/2013	10:10:00 AM	62.8	
88	9/18/2013	10:45:00 AM	55.4	
89	9/18/2013	11:20:00 AM	53.5	
90	9/18/2013	11:55:00 AM	53.9	
91	9/18/2013	12:30:00 PM	51.6	
92	9/18/2013	1:05:00 PM	52.1	
93	9/18/2013	1:40:00 PM	53	
94	9/18/2013	2:15:00 PM	54	
95	9/18/2013	2:50:00 PM	54.4	
96	9/18/2013	3:25:00 PM	54.2	
97	9/18/2013	4:00:00 PM	53.6	
98	9/18/2013	4:35:00 PM	53.2	
99	9/18/2013	5:10:00 PM	52.8	
100	9/18/2013	5:45:00 PM	52.2	
101	9/18/2013	6:20:00 PM	51.4	
102	9/18/2013	6:55:00 PM	50.5	
103	9/18/2013	7:30:00 PM	50.1	
104	9/18/2013	8:05:00 PM	49.5	
105	9/18/2013	8:40:00 PM	48.4	
