Index	Date	Time	Readings (?F)	Type
1	10/7/2012	8:00:00 AM	39.6	
2	10/7/2012	8:35:00 AM	39.6	
3	10/7/2012	9:10:00 AM	39.6	
4	10/7/2012	9:45:00 AM	39.7	
5	10/7/2012	10:20:00 AM	40.2	
6	10/7/2012	10:55:00 AM	40.6	
7	10/7/2012	11:30:00 AM	41.3	
8	10/7/2012	12:05:00 PM	41.9	
9	10/7/2012	12:40:00 PM	42.3	
10	10/7/2012	1:15:00 PM	42.9	
11	10/7/2012	1:50:00 PM	42.9	
12	10/7/2012	2:25:00 PM	43.7	
13	10/7/2012	3:00:00 PM	44.1	
14	10/7/2012	3:35:00 PM	44.6	
15	10/7/2012	4:10:00 PM	44.4	
16	10/7/2012	4:45:00 PM	43.9	
17	10/7/2012	5:20:00 PM	43.6	
18	10/7/2012	5:55:00 PM	43.2	
19	10/7/2012	6:30:00 PM	42.9	
20	10/7/2012	7:05:00 PM	42.7	
21	10/7/2012	7:40:00 PM	42.2	
22	10/7/2012	8:15:00 PM	41.7	
23	10/7/2012	8:50:00 PM	41.7	
24	10/7/2012	9:25:00 PM	41.6	
25	10/7/2012	10:00:00 PM	41.4	
26	10/7/2012	10:35:00 PM	41.1	
27	10/7/2012	11:10:00 PM	41.1	
28	10/7/2012	11:45:00 PM	41.1	
29	10/8/2012	12:20:00 AM	40.9	
30	10/8/2012	12:55:00 AM	40.7	
31	10/8/2012	1:30:00 AM	40.7	
32	10/8/2012	2:05:00 AM	40.3	
33	10/8/2012	2:40:00 AM	39.9	
34	10/8/2012	3:15:00 AM	39.8	
35	10/8/2012	3:50:00 AM	39.5	
36	10/8/2012	4:25:00 AM	39.2	
37	10/8/2012	5:00:00 AM	39.1	
38	10/8/2012	5:35:00 AM	38.6	
39	10/8/2012	6:10:00 AM	38.5	
40	10/8/2012	6:45:00 AM	38.6	
41	10/8/2012	7:20:00 AM	38.5	
42	10/8/2012	7:55:00 AM	38.5	
43	10/8/2012	8:30:00 AM	38.4	
44	10/8/2012	9:05:00 AM	38.5	
45	10/8/2012	9:40:00 AM	38.7	
46	10/8/2012	10:15:00 AM	39	
47	10/8/2012	10:50:00 AM	39.6	
48	10/8/2012	11:25:00 AM	40	
49	10/8/2012	12:00:00 PM	40.4	
50	10/8/2012	12:35:00 PM	40.5	
51	10/8/2012	1:10:00 PM	41.4	
52	10/8/2012	1:45:00 PM	41.5	
53	10/8/2012	2:20:00 PM	41.9	
54	10/8/2012	2:55:00 PM	41.9	
55	10/8/2012	3:30:00 PM	42.2	
56	10/8/2012	4:05:00 PM	42	
57	10/8/2012	4:40:00 PM	42	
